id,name,ei_code,ei_big_contribuitor,name@esp,tax_ids/tax_src_id,tax_ids/tax_dest_id,account_ids/account_src_id,account_ids/account_dest_id
fis_pos_co_cmu,Common,02,False,Común,tax_rtefte_10gt,,,
,,,,,tax_rtefte_4gt,,,
,,,,,tax_rtefte_6gt,,,
,,,,,tax_rtefte_2_5gt,,,
,,,,,tax_rteiva_2_85gt,,,
,,,,,tax_rteiva_2_4gt,,,
,,,,,tax_rteiva_0_75gt,,,
,,,,,tax_rteica_0_414gt,,,
,,,,,tax_rtefte_10lt,,,
,,,,,tax_rtefte_4lt,,,
,,,,,tax_rtefte_11gt,,,
,,,,,tax_rtefte_2_5lt,,,
,,,,,tax_rteiva_2_85lt,,,
,,,,,tax_rteiva_2_4lt,,,
,,,,,tax_rteiva_0_75lt,,,
,,,,,tax_rteica_0_966gt,,,
fis_pos_co_sim,Simplified,00,False,Simplificado,tax_rtefte_10gt,tax_rtefte_11gt,,
,,,,,tax_rtefte_10lt,tax_rtefte_10lt,,
fis_pos_co_gco,Great Contribuitor,02,True,Gran Contribuyente,tax_rtefte_10gt,,co_puc_240805,co_puc_240895
,,,,,tax_rtefte_4gt,,,
,,,,,tax_rtefte_6gt,,,
,,,,,tax_rtefte_2_5gt,,,
,,,,,tax_rteiva_2_85gt,,,
,,,,,tax_rteiva_2_4gt,,,
,,,,,tax_rteiva_0_75gt,,,
,,,,,tax_rteica_0_414gt,,,
,,,,,tax_rtefte_10lt,,,
,,,,,tax_rtefte_4lt,,,
,,,,,tax_rtefte_11gt,,,
,,,,,tax_rtefte_2_5lt,,,
,,,,,tax_rteiva_2_85lt,,,
,,,,,tax_rteiva_2_4lt,,,
,,,,,tax_rteiva_0_75lt,,,
,,,,,tax_rteica_0_966gt,,,
fis_pos_co_int,International,03,False,International,tax_rtefte_10gt,,co_puc_240805,co_puc_240895
,,,,,tax_rtefte_4gt,,,
,,,,,tax_rtefte_6gt,,,
,,,,,tax_rtefte_2_5gt,,,
,,,,,tax_rteiva_2_85gt,,,
,,,,,tax_rteiva_2_4gt,,,
,,,,,tax_rteiva_0_75gt,,,
,,,,,tax_rteica_0_414gt,,,
,,,,,tax_rtefte_10lt,,,
,,,,,tax_rtefte_4lt,,,
,,,,,tax_rtefte_11gt,,,
,,,,,tax_rtefte_2_5lt,,,
,,,,,tax_rteiva_2_85lt,,,
,,,,,tax_rteiva_2_4lt,,,
,,,,,tax_rteiva_0_75lt,,,
,,,,,tax_rteica_0_966gt,,,
fis_pos_co_gna,Non-Self-Withholding Large Taxpayer,02,False,Gran Contribuyente No Autoretenedor,,,,
fis_pos_co_sde,Simplified Declarer,04,False,Simplificado Declarante,,,,
fis_pos_co_cau,Common Self-Retaining,02,True,Común Autoretenedor,,,,
fis_pos_co_cnd,Common Non-Declarer,04,False,Común No Declarante,,,,
fis_pos_co_adm,Administration (Internal),03,False,Administración (Interno),tax_iva_19gt,,co_puc_410505,co_puc_410510
fis_pos_co_vta,Sales (Internal),03,False,Ventas (Interno),tax_iva_19gt,,co_puc_410505,co_puc_410510
fis_pos_co_prd,Production (Internal),03,False,Producción (Interno),tax_iva_19gt,,co_puc_410505,co_puc_410510
