id,code,name,name@esp,group_id:id,reconcile,account_type,chart_template_id:id,tag_ids:id
niif_fin_00,0,Co NIIF Finance Root,Co Niif Financiero Raiz,,0,off_balance,chart_template_niif_financiero,
niif_fin_1,1,Asset,Activo,,0,off_balance,chart_template_niif_financiero,
niif_fin_11,11,Cash and cash equivalents,Efectivo Y Equivalentes Al Efectivo,,0,off_balance,chart_template_niif_financiero,
niif_fin_1105,1105,Box,Caja,,0,off_balance,chart_template_niif_financiero,
niif_fin_110505,110505,Cash,Efectivo,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_110510,110510,Checks,Cheques,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_110515,110515,Deposits for Premiums Collected,Depósitos Por Primas Recaudadas,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_110520,110520,Small Cash,Caja Menor,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_110595,110595,Others Box,Otros Caja,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_1110,1110,Bank of the Republic,Banco De La República,,0,off_balance,chart_template_niif_financiero,
niif_fin_111005,111005,Bank Checking Account,Cuenta Corriente Bancaria,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_111010,111010,Own Exchange Certificates,Certificados De Cambio Propios,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_111015,111015,Certificates of Change in Administration,Certificados De Cambio En Administración,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_111020,111020,Currency Contraction Deposits,Depósitos De Contracción Monetaria,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_111095,111095,Other Bank of the Republic,Otros Banco De La República,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_1115,1115,Banks and Other Financial Entities,Bancos Y Otras Entidades Financieras,,0,off_balance,chart_template_niif_financiero,
niif_fin_111505,111505,National Banks,Bancos Nacionales,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_111510,111510,Foreign Banks,Bancos Del Exterior,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_111515,111515,Correspondents,Corresponsales,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_111520,111520,Branches Abroad,Sucursales En El Extranjero,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_111525,111525,Deposits for Premiums Collected,Depósitos Por Primas Recaudadas,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_111595,111595,Other Financial Entities,Otras Entidades Financieras,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_1120,1120,Exchange,Canje,,0,off_balance,chart_template_niif_financiero,
niif_fin_112005,112005,Exchange,Canje,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_112095,112095,Others Exchange,Otros Canje,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_1125,1125,Liquidity Management,Administración De Liquidez ,,0,off_balance,chart_template_niif_financiero,
niif_fin_112505,112505,Liquidity Management,Administración De Liquidez ,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_112595,112595,Exchange,Canje,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_1130,1130,Remittances in Transit,Remesas En Tránsito,,0,off_balance,chart_template_niif_financiero,
niif_fin_113005,113005,Country Checks,Cheques País,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_113010,113010,Foreign Checks,Cheques Sobre El Exterior,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_113095,113095,Other Consignments in Transit,Otras Remesas En Tránsito,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
