id,name,ei_code,name@esp,ei_big_contribuitor
fis_pos_com_cmu,Common,2,Común,False
fis_pos_com_sim,Simplified,0,Simplificado,False
fis_pos_com_gco,Great Contribuitor,2,Gran Contribuyente,True
fis_pos_com_int,International,3,International,False
fis_pos_com_gna,Non-Self-Withholding Large Taxpayer,2,Gran Contribuyente No Autorretenedor,False
fis_pos_com_sde,Simplified Declarer,4,Simplificado Declarante,False
fis_pos_com_cau,Common Self-Retaining,2,Común Autoretenedor,True
fis_pos_com_cnd,Common Declarer,4,Común No Declarante,False
fis_pos_com_adm,Administration (Internal),Interno Administracion,3,False
fis_pos_com_vta,Sales Internal,3,Interno Ventas,False
fis_pos_com_prd,Production Internal,3,Interno Produccion,False
