id,chart_template_id:id,name,ei_code,ei_big_contribuitor
fis_pos_tem_com_cmu,chart_template_comercial,Común,2,False
fis_pos_tem_com_sim,chart_template_comercial,Simplificado,0,False
fis_pos_tem_com_gco,chart_template_comercial,Gran Contribuyente,2,True
fis_pos_tem_com_int,chart_template_comercial,Internacional,3,False
fis_pos_tem_com_gna,chart_template_comercial,Gran Contribuyente No Autorretenedor,2,False
fis_pos_tem_com_sde,chart_template_comercial,Simplificado Declarante,4,False
fis_pos_tem_com_cau,chart_template_comercial,Común Autoretenedor,2,True
fis_pos_tem_com_cnd,chart_template_comercial,Común No Declarante,4,False
fis_pos_tem_com_adm,chart_template_comercial,Interno Administracion,3,False
fis_pos_tem_com_vta,chart_template_comercial,Interno Ventas,3,False
fis_pos_tem_com_prd,chart_template_comercial,Interno Produccion,3,False
fis_pos_tem_niif_fin_cmu,chart_template_niif_financiero,Común,2,False
fis_pos_tem_niif_fin_sim,chart_template_niif_financiero,Simplificado,0,False
fis_pos_tem_niif_fin_gco,chart_template_niif_financiero,Gran Contribuyente,2,True
fis_pos_tem_niif_fin_int,chart_template_niif_financiero,Internacional,3,False
fis_pos_tem_niif_fin_gna,chart_template_niif_financiero,Gran Contribuyente No Autorretenedor,2,False
fis_pos_tem_niif_fin_sde,chart_template_niif_financiero,Simplificado Declarante,4,False
fis_pos_tem_niif_fin_cau,chart_template_niif_financiero,Común Autoretenedor,2,True
fis_pos_tem_niif_fin_cnd,chart_template_niif_financiero,Común No Declarante,4,False
fis_pos_tem_niif_fin_adm,chart_template_niif_financiero,Interno Administracion,3,False
fis_pos_tem_niif_fin_vta,chart_template_niif_financiero,Interno Ventas,3,False
fis_pos_tem_niif_fin_prd,chart_template_niif_financiero,Interno Produccion,3,False
fis_pos_tem_niif_sol_cmu,chart_template_niif_solidario,Común,2,False
fis_pos_tem_niif_sol_sim,chart_template_niif_solidario,Simplificado,0,False
fis_pos_tem_niif_sol_gco,chart_template_niif_solidario,Gran Contribuyente,2,True
fis_pos_tem_niif_sol_int,chart_template_niif_solidario,Internacional,3,False
fis_pos_tem_niif_sol_gna,chart_template_niif_solidario,Gran Contribuyente No Autorretenedor,2,False
fis_pos_tem_niif_sol_sde,chart_template_niif_solidario,Simplificado Declarante,4,False
fis_pos_tem_niif_sol_cau,chart_template_niif_solidario,Común Autoretenedor,2,True
fis_pos_tem_niif_sol_cnd,chart_template_niif_solidario,Común No Declarante,4,False
fis_pos_tem_niif_sol_adm,chart_template_niif_solidario,Interno Administracion,3,False
fis_pos_tem_niif_sol_vta,chart_template_niif_solidario,Interno Ventas,3,False
fis_pos_tem_niif_sol_prd,chart_template_niif_solidario,Interno Produccion,3,False
