id,name,name@esp,code_prefix_start,code_prefix_end,parent_id/
group_1_act,Assets,Activos,1,1,
group_1_1_efe_equ,Cash and cash equivalents,Efectivo y equivalentes al efectivo,11,11,group_1_act
group_1_2_inv_cor,Current investments,Inversiones corrientes,1205,1205,group_1_act
group_1_2_fin_cor,Other current financial assets,Otros activos financieros corrientes,1210,1295,group_1_act
group_1_3_cta_cob,Accounts receivable,Cuentas por cobrar,1305,1305,group_1_act
group_1_3_imp_dif,Deferred Tax Asset,Activo Impuesto Diferido,1310,1310,group_1_act
group_1_3_otr_cob,Trade accounts receivable and other current accounts receivable,Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,1315,1395,group_1_act
group_1_4_stk_cor,Current inventories,Inventarios corrientes,1405,1405,group_1_act
group_1_4_stk_noc,Non-current inventories,Inventarios no corrientes,1410,1495,group_1_act
group_1_5_bio_cor,Current biological assets,Activos biológicos corrientes,1505,1505,group_1_act
group_1_5_pro_des,"Properties, plant and equipment",Propiedades planta y equipo,1510,1510,group_1_act
group_1_5_pro_inv,Investment properties,Propiedades de inversión,1515,1595,group_1_act
group_1_7_fin_noc,Other non-current financial assets,Otros activos financieros no corrientes,17,17,group_1_act
group_1_8_pro_cor,Other current provisions,Otras provisiones corrientes,18,18,group_1_act
group_1_9_act_int,Intangible assets,Activos intangibles,1905,1905,group_1_act
group_1_9_art_cul,Other Assets Art and culture,Otros Activos Arte y cultura,1910,1995,group_1_act
group_2_pas,Liability,Pasivo,2,2,
group_2_1_cta_pag,Trade accounts payable and other accounts payable,Cuentas por pagar comerciales y otras cuentas por pagar,21,21,group_2_pas
group_2_2_fin_cor,Current financial obligations,Obligaciones financieras corrientes,2205,2205,group_2_pas
group_2_2_obl_fin,Financial obligations,Obligaciones financieras,2210,2295,group_2_pas
group_2_3_ben_emp,Current provisions for employee benefits,Provisiones corrientes por beneficios a los empleados,23,23,group_2_pas
group_2_4_imp_cor,Current tax liabilities,Pasivos por impuestos corrientes,24,24,group_2_pas
group_2_5_fin_noc,Other non-current financial liabilities,Otros Pasivos financieros no corrientes,25,25,group_2_pas
group_2_6_nof_cor,Other current non-financial liabilities,Otros pasivos no financieros corrientes,26,26,group_2_pas
group_3_pat,Equity,Patrimonio,3,3,
group_3_1_cap_emi,Issued capital,Capital emitido,31,31,group_3_pat
group_3_2_par_pat,Other Equity Interests,Otras Participaciones En El Patrimonio,32,32,group_3_pat
group_3_2_pri_emi,Share Premium,Prima De Emisión,3205,3205,group_3_pat
group_3_2_sup_rev,Revaluation Surplus,Superavit Por Revaluación,3220,3220,group_3_pat
group_3_3_res_vas,Reserves,Reservas,33,33,group_3_pat
group_3_4_otr_res,Other reserves,Otras Reservas,34,34,group_3_pat
group_3_5_plu_lia,Capital gain,Plusvalía,35,35,group_3_pat
group_3_7_sup_cap,Supplementary Investment To The Assigned Capital,Inversión Suplementaria Al Capital Asignado,37,37,group_3_pat
group_3_8_art_cul,Other Assets Art and Culture (Equity),Otros Activos Arte y Cultura (Patrimonio),38,38,group_3_pat
group_3_9_pyg_acu,Accumulated Gains (Losses),Ganancias (Perdidas) Acumuladas,37,37,group_3_pat
group_3_9_res_eje,Result of the excersice,Resultado Del Ejercicio,38,38,group_3_pat
group_4_ing,Incomes,Ingresos,4,4,
group_4_1_ing_ord,Ordinary activities income,Ingresos De Actividades Ordinarias,4105,4105,group_4_ing
group_4_2_ing_fin,Financial income,Ingresos Financieros,4110,4195,group_4_ing
group_4_3_otr_ing,Other income,Otros Ingresos,42,49,group_4_ing
group_5_gas,Expenses,Gastos,5,5,group_0_com
group_5_1_gas_adm,Administration Expenses,Gastos De Administración,51,51,group_5_gas
group_5_2_gas_ven,Selling expenses,Gastos De Ventas,52,52,group_5_gas
group_5_3_gas_imp,Tax Expense,Gasto Por Impuestos,53,53,group_5_gas
group_5_4_otr_gas,Other expenses,Otros Gastos,54,54,group_5_gas
group_6_ven,Costs of sale,Costos De Ventas,6,6,group_0_com
group_6_1_cos_dis,Distribution Costs,Costos De Distribución,61,61,group_6_ven
group_6_2_cos_ven,Costs of sale,Costo De Ventas,62,62,group_6_ven
group_6_3_cos_fin,Financial costs,Costos Financieros,63,63,group_6_ven
group_6_4_otr_cos,Other costs,Otros Costos,64,69,group_6_ven
group_7_pro,Production costs,Costos De Producción,7,7,group_0_com
group_7_1_cos_dis,Production costs,Costos De Producción,71,71,group_7_pro
group_7_2_cos_ven,Cost of Producers,Costo De Productores,72,72,group_7_pro
group_7_3_cos_fin,Production Costs,Costos Producción,73,73,group_7_pro
group_7_4_otr_cos,Other Production Costs,Otros Costos Producción,74,74,group_7_pro
