id,invoice_tax_id:id,repartition_type,factor_percent,account_id:id,refund_tax_id:id
tax_tem_com_base_aurta_3gt_bs,tax_tem_com_aurta_3gt_bs,base,,,
tax_tem_com_tax_aurta_3gt_bs,tax_tem_com_aurta_3gt_bs,tax,100,puc_com_236575,
tax_tem_com_base_aurta_3gt_bs_rfnd,,base,,,tax_tem_com_aurta_3gt_bs
tax_tem_com_tax_aurta_3gt_bs_rfnd,,tax,100,puc_com_236575,tax_tem_com_aurta_3gt_bs
tax_tem_com_base_aurta_3gt_sl,tax_tem_com_aurta_3gt_sl,base,,,
tax_tem_com_tax_aurta_3gt_sl,tax_tem_com_aurta_3gt_sl,tax,100,puc_com_135515,
tax_tem_com_base_aurta_3gt_sl_rfnd,,base,,,tax_tem_com_aurta_3gt_sl
tax_tem_com_tax_aurta_3gt_sl_rfnd,,tax,100,puc_com_135515,tax_tem_com_aurta_3gt_sl
tax_tem_com_base_aurta_4gt_bs,tax_tem_com_aurta_4gt_bs,base,,,
tax_tem_com_tax_aurta_4gt_bs,tax_tem_com_aurta_4gt_bs,tax,100,puc_com_236575,
tax_tem_com_base_aurta_4gt_bs_rfnd,,base,,,tax_tem_com_aurta_4gt_bs
tax_tem_com_tax_aurta_4gt_bs_rfnd,,tax,100,puc_com_236575,tax_tem_com_aurta_4gt_bs
tax_tem_com_base_aurta_4gt_sl,tax_tem_com_aurta_4gt_sl,base,,,
tax_tem_com_tax_aurta_4gt_sl,tax_tem_com_aurta_4gt_sl,tax,100,puc_com_135515,
tax_tem_com_base_aurta_4gt_sl_rfnd,,base,,,tax_tem_com_aurta_4gt_sl
tax_tem_com_tax_aurta_4gt_sl_rfnd,,tax,100,puc_com_135515,tax_tem_com_aurta_4gt_sl
tax_tem_com_base_aurta_6gt_bs,tax_tem_com_aurta_6gt_bs,base,,,
tax_tem_com_tax_aurta_6gt_bs,tax_tem_com_aurta_6gt_bs,tax,100,puc_com_236575,
tax_tem_com_base_aurta_6gt_bs_rfnd,,base,,,tax_tem_com_aurta_6gt_bs
tax_tem_com_tax_aurta_6gt_bs_rfnd,,tax,100,puc_com_236575,tax_tem_com_aurta_6gt_bs
tax_tem_com_base_aurta_6gt_sl,tax_tem_com_aurta_6gt_sl,base,,,
tax_tem_com_tax_aurta_6gt_sl,tax_tem_com_aurta_6gt_sl,tax,100,puc_com_135515,
tax_tem_com_base_aurta_6gt_sl_rfnd,,base,,,tax_tem_com_aurta_6gt_sl
tax_tem_com_tax_aurta_6gt_sl_rfnd,,tax,100,puc_com_135515,tax_tem_com_aurta_6gt_sl
tax_tem_com_base_aurte_1_5gt_bs,tax_tem_com_aurte_1_5gt_bs,base,,,
tax_tem_com_tax_aurte_1_5gt_bs,tax_tem_com_aurte_1_5gt_bs,tax,100,puc_com_236575,
tax_tem_com_base_aurte_1_5gt_bs_rfnd,,base,,,tax_tem_com_aurte_1_5gt_bs
tax_tem_com_tax_aurte_1_5gt_bs_rfnd,,tax,100,puc_com_236575,tax_tem_com_aurte_1_5gt_bs
tax_tem_com_base_aurte_1_5gt_sl,tax_tem_com_aurte_1_5gt_sl,base,,,
tax_tem_com_tax_aurte_1_5gt_sl,tax_tem_com_aurte_1_5gt_sl,tax,100,puc_com_135515,
tax_tem_com_base_aurte_1_5gt_sl_rfnd,,base,,,tax_tem_com_aurte_1_5gt_sl
tax_tem_com_tax_aurte_1_5gt_sl_rfnd,,tax,100,puc_com_135515,tax_tem_com_aurte_1_5gt_sl
tax_tem_com_base_aurte_10gt_bs,tax_tem_com_aurte_10gt_bs,base,,,
tax_tem_com_tax_aurte_10gt_bs,tax_tem_com_aurte_10gt_bs,tax,100,puc_com_236575,
tax_tem_com_base_aurte_10gt_bs_rfnd,,base,,,tax_tem_com_aurte_10gt_bs
tax_tem_com_tax_aurte_10gt_bs_rfnd,,tax,100,puc_com_236575,tax_tem_com_aurte_10gt_bs
tax_tem_com_base_aurte_10gt_sl,tax_tem_com_aurte_10gt_sl,base,,,
tax_tem_com_tax_aurte_10gt_sl,tax_tem_com_aurte_10gt_sl,tax,100,puc_com_135515,
tax_tem_com_base_aurte_10gt_sl_rfnd,,base,,,tax_tem_com_aurte_10gt_sl
tax_tem_com_tax_aurte_10gt_sl_rfnd,,tax,100,puc_com_135515,tax_tem_com_aurte_10gt_sl
tax_tem_com_base_aurte_11gt_bs,tax_tem_com_aurte_11gt_bs,base,,,
tax_tem_com_tax_aurte_11gt_bs,tax_tem_com_aurte_11gt_bs,tax,100,puc_com_236575,
tax_tem_com_base_aurte_11gt_bs_rfnd,,base,,,tax_tem_com_aurte_11gt_bs
tax_tem_com_tax_aurte_11gt_bs_rfnd,,tax,100,puc_com_236575,tax_tem_com_aurte_11gt_bs
tax_tem_com_base_aurte_11gt_sl,tax_tem_com_aurte_11gt_sl,base,,,
tax_tem_com_tax_aurte_11gt_sl,tax_tem_com_aurte_11gt_sl,tax,100,puc_com_135515,
tax_tem_com_base_aurte_11gt_sl_rfnd,,base,,,tax_tem_com_aurte_11gt_sl
tax_tem_com_tax_aurte_11gt_sl_rfnd,,tax,100,puc_com_135515,tax_tem_com_aurte_11gt_sl
tax_tem_com_base_aurte_16gt_bs,tax_tem_com_aurte_16gt_bs,base,,,
tax_tem_com_tax_aurte_16gt_bs,tax_tem_com_aurte_16gt_bs,tax,100,puc_com_236575,
tax_tem_com_base_aurte_16gt_bs_rfnd,,base,,,tax_tem_com_aurte_16gt_bs
tax_tem_com_tax_aurte_16gt_bs_rfnd,,tax,100,puc_com_236575,tax_tem_com_aurte_16gt_bs
tax_tem_com_base_aurte_16gt_sl,tax_tem_com_aurte_16gt_sl,base,,,
tax_tem_com_tax_aurte_16gt_sl,tax_tem_com_aurte_16gt_sl,tax,100,puc_com_135515,
tax_tem_com_base_aurte_16gt_sl_rfnd,,base,,,tax_tem_com_aurte_16gt_sl
tax_tem_com_tax_aurte_16gt_sl_rfnd,,tax,100,puc_com_135515,tax_tem_com_aurte_16gt_sl
tax_tem_com_base_aurte_19gt_sl,tax_tem_com_aurte_19gt_sl,base,,,
tax_tem_com_tax_aurte_19gt_sl,tax_tem_com_aurte_19gt_sl,tax,100,puc_com_135515,
tax_tem_com_base_aurte_19gt_sl_rfnd,,base,,,tax_tem_com_aurte_19gt_sl
tax_tem_com_tax_aurte_19gt_sl_rfnd,,tax,100,puc_com_135515,tax_tem_com_aurte_19gt_sl
tax_tem_com_base_aurte_1gt_bs,tax_tem_com_aurte_1gt_bs,base,,,
tax_tem_com_tax_aurte_1gt_bs,tax_tem_com_aurte_1gt_bs,tax,100,puc_com_236575,
tax_tem_com_base_aurte_1gt_bs_rfnd,,base,,,tax_tem_com_aurte_1gt_bs
tax_tem_com_tax_aurte_1gt_bs_rfnd,,tax,100,puc_com_236575,tax_tem_com_aurte_1gt_bs
tax_tem_com_base_aurte_1gt_sl,tax_tem_com_aurte_1gt_sl,base,,,
tax_tem_com_tax_aurte_1gt_sl,tax_tem_com_aurte_1gt_sl,tax,100,puc_com_135515,
tax_tem_com_base_aurte_1gt_sl_rfnd,,base,,,tax_tem_com_aurte_1gt_sl
tax_tem_com_tax_aurte_1gt_sl_rfnd,,tax,100,puc_com_135515,tax_tem_com_aurte_1gt_sl
tax_tem_com_base_aurte_2_5gt_bs,tax_tem_com_aurte_2_5gt_bs,base,,,
tax_tem_com_tax_aurte_2_5gt_bs,tax_tem_com_aurte_2_5gt_bs,tax,100,puc_com_236575,
tax_tem_com_base_aurte_2_5gt_bs_rfnd,,base,,,tax_tem_com_aurte_2_5gt_bs
tax_tem_com_tax_aurte_2_5gt_bs_rfnd,,tax,100,puc_com_236575,tax_tem_com_aurte_2_5gt_bs
