id,name,description,chart_template_id:id,type_tax_use,amount,sequence,price_include,tax_group_id:id,invoice_repartition_line_ids/id,invoice_repartition_line_ids/repartition_type,invoice_repartition_line_ids/factor_percent,invoice_repartition_line_ids/account_id:id,refund_repartition_line_ids/id,refund_repartition_line_ids/repartition_type,refund_repartition_line_ids/factor_percent,refund_repartition_line_ids/account_id:id
tax_tem_com_cree_4gt_bs,Cree 4‰\,Cree4‰\,chart_template_comercial,sale,0.4,1,FALSE,tax_group_otro_zz,tax_tem_com_base_cree_4gt_bs,base,,,tax_tem_com_base_cree_4gt_bs_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_cree_4gt_bs,tax,100,puc_com_236710,tax_tem_com_tax_cree_4gt_bs_rfnd,tax,100,puc_com_236710
tax_tem_com_cree_4gt,Cree 4‰,Cree4‰,chart_template_comercial,sale,0.4,2,FALSE,tax_group_otro_zz,tax_tem_com_base_cree_4gt,base,,,tax_tem_com_base_cree_4gt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_cree_4gt,tax,100,puc_com_236710,tax_tem_com_tax_cree_4gt_rfnd,tax,100,puc_com_236710
tax_tem_com_cree_4gt_sl,Cree 4‰/,Cree4‰/,chart_template_comercial,sale,-0.4,3,FALSE,tax_group_otro_zz,tax_tem_com_base_cree_4gt_sl,base,,,tax_tem_com_base_cree_4gt_sl_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_cree_4gt_sl,tax,100,puc_com_135515,tax_tem_com_tax_cree_4gt_sl_rfnd,tax,100,puc_com_135515
tax_tem_com_gmf_4gt_bs,Gmf 4‰\,Gmf4‰\,chart_template_comercial,sale,-0.4,4,FALSE,tax_group_otro_zz,tax_tem_com_base_gmf_4gt_bs,base,,,tax_tem_com_base_gmf_4gt_bs_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_gmf_4gt_bs,tax,100,puc_com_236705,tax_tem_com_tax_gmf_4gt_bs_rfnd,tax,100,puc_com_236705
tax_tem_com_gmf_4gt,Gmf 4‰,Gmf4‰,chart_template_comercial,sale,0.4,5,FALSE,tax_group_otro_zz,tax_tem_com_base_gmf_4gt,base,,,tax_tem_com_base_gmf_4gt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_gmf_4gt,tax,100,puc_com_236705,tax_tem_com_tax_gmf_4gt_rfnd,tax,100,puc_com_236705
tax_tem_com_gmf_4gt_sl,Gmf 4‰/,Gmf4‰/,chart_template_comercial,sale,0.4,6,FALSE,tax_group_otro_zz,tax_tem_com_base_gmf_4gt_sl,base,,,tax_tem_com_base_gmf_4gt_sl_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_gmf_4gt_sl,tax,100,puc_com_135515,tax_tem_com_tax_gmf_4gt_sl_rfnd,tax,100,puc_com_135515
tax_tem_com_aurta_3gt_bs,AuRta 3‰\,AuRta3‰\,chart_template_comercial,sale,0.3,7,FALSE,tax_group_rterta_06,tax_tem_com_base_aurta_3gt_bs,base,,,tax_tem_com_base_aurta_3gt_bs_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_aurta_3gt_bs,tax,100,puc_com_236575,tax_tem_com_tax_aurta_3gt_bs_rfnd,tax,100,puc_com_236575
tax_tem_com_rterta_3gt,RteRta 3‰,RteRta3‰,chart_template_comercial,sale,0.4,8,FALSE,tax_group_rterta_06,tax_tem_com_base_rterta_3gt,base,,,tax_tem_com_base_rterta_3gt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_rterta_3gt,tax,100,puc_com_236570,tax_tem_com_tax_rterta_3gt_rfnd,tax,100,puc_com_236570
tax_tem_com_aurta_3gt_sl,AuRta 3‰/,AuRta3‰/,chart_template_comercial,sale,-0.3,9,FALSE,tax_group_rterta_06,tax_tem_com_base_aurta_3gt_sl,base,,,tax_tem_com_base_aurta_3gt_sl_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_aurta_3gt_sl,tax,100,puc_com_135515,tax_tem_com_tax_aurta_3gt_sl_rfnd,tax,100,puc_com_135515
tax_tem_com_aurta_4gt_bs,AuRta 4‰\,AuRta4‰\,chart_template_comercial,sale,0.4,10,FALSE,tax_group_rterta_06,tax_tem_com_base_aurta_4gt_bs,base,,,tax_tem_com_base_aurta_4gt_bs_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_aurta_4gt_bs,tax,100,puc_com_236575,tax_tem_com_tax_aurta_4gt_bs_rfnd,tax,100,puc_com_236575
tax_tem_com_rterta_4gt,RteRta 4‰,RteRta4‰,chart_template_comercial,sale,0.4,11,FALSE,tax_group_rterta_06,tax_tem_com_base_rterta_4gt,base,,,tax_tem_com_base_rterta_4gt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_rterta_4gt,tax,100,puc_com_236570,tax_tem_com_tax_rterta_4gt_rfnd,tax,100,puc_com_236570
tax_tem_com_aurta_4gt_sl,AuRta 4‰/,AuRta4‰/,chart_template_comercial,sale,-0.4,12,FALSE,tax_group_rterta_06,tax_tem_com_base_aurta_4gt_sl,base,,,tax_tem_com_base_aurta_4gt_sl_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_aurta_4gt_sl,tax,100,puc_com_135515,tax_tem_com_tax_aurta_4gt_sl_rfnd,tax,100,puc_com_135515
tax_tem_com_aurta_6gt_bs,AuRta 6‰\,AuRta6‰\,chart_template_comercial,sale,0.6,13,FALSE,tax_group_rterta_06,tax_tem_com_base_aurta_6gt_bs,base,,,tax_tem_com_base_aurta_6gt_bs_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_aurta_6gt_bs,tax,100,puc_com_236575,tax_tem_com_tax_aurta_6gt_bs_rfnd,tax,100,puc_com_236575
tax_tem_com_rterta_6gt,RteRta 6‰,RteRta6‰,chart_template_comercial,sale,0.4,14,FALSE,tax_group_rterta_06,tax_tem_com_base_rterta_6gt,base,,,tax_tem_com_base_rterta_6gt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_rterta_6gt,tax,100,puc_com_236570,tax_tem_com_tax_rterta_6gt_rfnd,tax,100,puc_com_236570
tax_tem_com_aurta_6gt_sl,AuRta 6‰/,AuRta6‰/,chart_template_comercial,sale,-0.6,15,FALSE,tax_group_rterta_06,tax_tem_com_base_aurta_6gt_sl,base,,,tax_tem_com_base_aurta_6gt_sl_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_aurta_6gt_sl,tax,100,puc_com_135515,tax_tem_com_tax_aurta_6gt_sl_rfnd,tax,100,puc_com_135515
tax_tem_com_impco_4gt,Consumo 4%,Consumo4%,chart_template_comercial,sale,4,16,FALSE,tax_group_ic_02,tax_tem_com_base_impco_4gt,base,,,tax_tem_com_base_impco_4gt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_impco_4gt,tax,100,puc_com_519560,tax_tem_com_tax_impco_4gt_rfnd,tax,100,puc_com_519560
tax_tem_com_impco_4lt,Consumo 4%<,Consumo4%,chart_template_comercial,purchase,4,17,FALSE,tax_group_ic_02,tax_tem_com_base_impco_4lt,base,,,tax_tem_com_base_impco_4lt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_impco_4lt,tax,100,puc_com_519560,tax_tem_com_tax_impco_4lt_rfnd,tax,100,puc_com_519560
tax_tem_com_impco_4gt_inc,[Consumo 4%],[Consumo4%],chart_template_comercial,sale,4,18,TRUE,tax_group_ic_02,tax_tem_com_base_impco_4gt_inc,base,,,tax_tem_com_base_impco_4gt_inc_rfnd,base,,
