id,code,name,group_id:id,reconcile,account_type,chart_template_id:id,tag_ids:id
puc_com_00,0,Co Puc Comercial Root,,0,off_balance,chart_template_comercial,
puc_com_1,1,Activo,,0,off_balance,chart_template_comercial,
puc_com_11,11,Disponible,,0,off_balance,chart_template_comercial,
puc_com_1105,1105,Caja,,0,off_balance,chart_template_comercial,
puc_com_110505,110505,Caja General,group_fin_1_1_efe_equ,1,asset_cash,chart_template_comercial,
puc_com_110510,110510,Cajas Menores,group_fin_1_1_efe_equ,1,asset_cash,chart_template_comercial,
puc_com_110515,110515,Moneda Extranjera,group_fin_1_1_efe_equ,1,asset_cash,chart_template_comercial,
puc_com_110595,110595,Otras Cajas,group_fin_1_1_efe_equ,1,asset_cash,chart_template_comercial,
puc_com_110599,110599,Transferencias Internas,group_fin_1_1_efe_equ,1,asset_cash,chart_template_comercial,
puc_com_1110,1110,Bancos,,0,off_balance,chart_template_comercial,
puc_com_111005,111005,Moneda Nacional,group_fin_1_1_efe_equ,1,asset_cash,chart_template_comercial,aat_1012_1110_K
puc_com_111010,111010,Moneda Extranjera,group_fin_1_1_efe_equ,1,asset_cash,chart_template_comercial,aat_1012_1110_K
puc_com_111095,111095,Otros Bancos,group_fin_1_1_efe_equ,1,asset_cash,chart_template_comercial,aat_1012_1110_K
puc_com_1115,1115,Remesas En Tránsito,,0,off_balance,chart_template_comercial,
puc_com_111505,111505,Moneda Nacional,group_fin_1_1_efe_equ,1,asset_cash,chart_template_comercial,aat_1012_1110_K
puc_com_111510,111510,Moneda Extranjera,group_fin_1_1_efe_equ,1,asset_cash,chart_template_comercial,aat_1012_1110_K
puc_com_111595,111595,Otras Remesas,group_fin_1_1_efe_equ,1,asset_cash,chart_template_comercial,aat_1012_1110_K
puc_com_111599,111599,Deterioro Remesas,group_fin_1_1_efe_equ,1,asset_cash,chart_template_comercial,aat_1012_1110_K
puc_com_1120,1120,Cuentas De Ahorro,,0,off_balance,chart_template_comercial,
puc_com_112005,112005,Bancos,group_fin_1_1_efe_equ,1,asset_cash,chart_template_comercial,aat_1012_1110_K
puc_com_112010,112010,Corporaciones De Ahorro Y Vivienda,group_fin_1_1_efe_equ,1,asset_cash,chart_template_comercial,aat_1012_1110_K
puc_com_112015,112015,Organismos Cooperativos Financieros,group_fin_1_1_efe_equ,1,asset_cash,chart_template_comercial,aat_1012_1110_K
puc_com_112095,112095,Otras Cuentas De Ahorro,group_fin_1_1_efe_equ,1,asset_cash,chart_template_comercial,aat_1012_1110_K
puc_com_1125,1125,Fondos,,0,off_balance,chart_template_comercial,
puc_com_112505,112505,Rotatorios Moneda Nacional,group_fin_1_1_efe_equ,1,asset_cash,chart_template_comercial,aat_1012_1110_K
puc_com_112510,112510,Rotatorios Moneda Extranjera,group_fin_1_1_efe_equ,1,asset_cash,chart_template_comercial,aat_1012_1110_K
puc_com_112515,112515,Especiales Moneda Nacional,group_fin_1_1_efe_equ,1,asset_cash,chart_template_comercial,aat_1012_1110_K
puc_com_112520,112520,Especiales Moneda Extranjera,group_fin_1_1_efe_equ,1,asset_cash,chart_template_comercial,aat_1012_1110_K
puc_com_112525,112525,De Amortización Moneda Nacional,group_fin_1_1_efe_equ,1,asset_cash,chart_template_comercial,aat_1012_1110_K
puc_com_112530,112530,De Amortización Moneda Extranjera,group_fin_1_1_efe_equ,1,asset_cash,chart_template_comercial,aat_1012_1110_K
puc_com_112595,112595,Otros Fondos,group_fin_1_1_efe_equ,1,asset_cash,chart_template_comercial,aat_1012_1110_K
puc_com_112599,112599,Deterioro Fondos,group_fin_1_1_efe_equ,1,asset_cash,chart_template_comercial,aat_1012_1110_K
puc_com_12,12,Inversiones,,0,off_balance,chart_template_comercial,
puc_com_1205,1205,Acciones,,0,off_balance,chart_template_comercial,
puc_com_120505,120505,"Agricultura, Ganadería, Caza Y Silvicultura",group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_120510,120510,Pesca,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_120515,120515,Explotación De Minas Y Canteras,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_120520,120520,Industria Manufacturera,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_120525,120525,"Suministro De Electricidad, Gas Y Agua",group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_120530,120530,Construcción,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_120535,120535,Comercio Al Por Mayor Y Al Por Menor,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_120540,120540,Hoteles Y Restaurantes,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_120545,120545,"Transporte, Almacenamiento Y Comunicaciones",group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_120550,120550,Actividad Financiera,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_120555,120555,"Actividades Inmobiliarias, Empresariales Y De Alquiler",group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_120560,120560,Enseñanza,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_120565,120565,Servicios Sociales Y De Salud,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_120570,120570,"Otras Actividades De Servicios Comunitarios, Sociales Y Personales",group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_120595,120595,Otras Acciones,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
