id,name,,000000,accounts/external_id, - ,name,group_id:id,reconcile,user_type_id:id,chart_template_id:id,tag_ids:id
bdgtry_fin_00,0 - Co Niif Financiero Root,000000,bdgtry_fin_00,niif_fin_00,0,Co Niif Financiero Root,,0,account.data_account_off_sheet,chart_template_niif_financiero,
bdgtry_fin_1,1 - Activo,100000,bdgtry_fin_1,niif_fin_1,1,Activo,,0,account.data_account_off_sheet,chart_template_niif_financiero,
bdgtry_fin_11,11 - Efectivo Y Equivalentes Al Efectivo,110000,bdgtry_fin_11,niif_fin_11,11,Efectivo Y Equivalentes Al Efectivo,,0,account.data_account_off_sheet,chart_template_niif_financiero,
bdgtry_fin_1105,1105 - Caja,110500,bdgtry_fin_1105,niif_fin_1105,1105,Caja,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,110505,bdgtry_fin_110505,niif_fin_110505,110505,Efectivo,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,110510,bdgtry_fin_110510,niif_fin_110510,110510,Cheques,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,110515,bdgtry_fin_110515,niif_fin_110515,110515,Dep�sitos Por Primas Recaudadas,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,110520,bdgtry_fin_110520,niif_fin_110520,110520,Caja Menor,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,110595,bdgtry_fin_110595,niif_fin_110595,110595,Otros Caja,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
bdgtry_fin_1110,1110 - Banco De La Rep�blica,111000,bdgtry_fin_1110,niif_fin_1110,1110,Banco De La Rep�blica,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,111005,bdgtry_fin_111005,niif_fin_111005,111005,Cuenta Corriente Bancaria,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,111010,bdgtry_fin_111010,niif_fin_111010,111010,Certificados De Cambio Propios,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,111015,bdgtry_fin_111015,niif_fin_111015,111015,Certificados De Cambio En Administraci�n,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,111020,bdgtry_fin_111020,niif_fin_111020,111020,Dep�sitos De Contracci�n Monetaria,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,111095,bdgtry_fin_111095,niif_fin_111095,111095,Otros Banco De La Rep�blica,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
bdgtry_fin_1115,1115 - Bancos Y Otras Entidades Financieras,111500,bdgtry_fin_1115,niif_fin_1115,1115,Bancos Y Otras Entidades Financieras,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,111505,bdgtry_fin_111505,niif_fin_111505,111505,Bancos Nacionales,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,111510,bdgtry_fin_111510,niif_fin_111510,111510,Bancos Del Exterior,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,111515,bdgtry_fin_111515,niif_fin_111515,111515,Corresponsales,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,111520,bdgtry_fin_111520,niif_fin_111520,111520,Sucursales En El Extranjero,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,111525,bdgtry_fin_111525,niif_fin_111525,111525,Dep�sitos Por Primas Recaudadas,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,111595,bdgtry_fin_111595,niif_fin_111595,111595,Otras Entidades Financieras,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
bdgtry_fin_1120,1120 - Canje,112000,bdgtry_fin_1120,niif_fin_1120,1120,Canje,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,112005,bdgtry_fin_112005,niif_fin_112005,112005,Canje,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,112095,bdgtry_fin_112095,niif_fin_112095,112095,Otros Canje,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
bdgtry_fin_1125,1125 - Administraci�n De Liquidez ,112500,bdgtry_fin_1125,niif_fin_1125,1125,Administraci�n De Liquidez ,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,112505,bdgtry_fin_112505,niif_fin_112505,112505,Administraci�n De Liquidez ,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,112595,bdgtry_fin_112595,niif_fin_112595,112595,Canje,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
bdgtry_fin_1130,1130 - Remesas En Tr�nsito,113000,bdgtry_fin_1130,niif_fin_1130,1130,Remesas En Tr�nsito,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,113005,bdgtry_fin_113005,niif_fin_113005,113005,Cheques Pa�s,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,113010,bdgtry_fin_113010,niif_fin_113010,113010,Cheques Sobre El Exterior,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,113095,bdgtry_fin_113095,niif_fin_113095,113095,Otras Remesas En Tr�nsito,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
bdgtry_fin_1132,1132 - Fondos En Transito,113200,bdgtry_fin_1132,niif_fin_1132,1132,Fondos En Transito,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,113205,bdgtry_fin_113205,niif_fin_113205,113205,Fondos En Transito,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,113295,bdgtry_fin_113295,niif_fin_113295,113295,Otros Fondos En Transito,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
bdgtry_fin_1135,1135 - Fondos Especiales,113500,bdgtry_fin_1135,niif_fin_1135,1135,Fondos Especiales,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,113505,bdgtry_fin_113505,niif_fin_113505,113505,Fondos Especiales,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,113595,bdgtry_fin_113595,niif_fin_113595,113595,Fondos Especiales,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
bdgtry_fin_1140,1140 - Efectivo Restringido,114000,bdgtry_fin_1140,niif_fin_1140,1140,Efectivo Restringido,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,114005,bdgtry_fin_114005,niif_fin_114005,114005,Efectivo Restringido,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,114095,bdgtry_fin_114095,niif_fin_114095,114095,Otro Efectivo Restringido,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
bdgtry_fin_1150,1150 - Otras Operaciones Equivalentes A Efectivo,115000,bdgtry_fin_1150,niif_fin_1150,1150,Otras Operaciones Equivalentes A Efectivo,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,115005,bdgtry_fin_115005,niif_fin_115005,115005,Operaciones Monetarias,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,115010,bdgtry_fin_115010,niif_fin_115010,115010,Inversiones,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,115015,bdgtry_fin_115015,niif_fin_115015,115015,Participaci�n En Fondos A La Vista,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,115095,bdgtry_fin_115095,niif_fin_115095,115095,Otros,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
bdgtry_fin_12,12 - Operaciones Del Mercado Monetario Y Relacionadas,120000,bdgtry_fin_12,niif_fin_12,12,Operaciones Del Mercado Monetario Y Relacionadas,,0,account.data_account_off_sheet,chart_template_niif_financiero,
bdgtry_fin_1205,1205 - Fondos Interasociados Activos,120500,bdgtry_fin_1205,niif_fin_1205,1205,Fondos Interasociados Activos,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,120505,bdgtry_fin_120505,niif_fin_120505,120505,Compa��as De Seguros Generales,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,120510,bdgtry_fin_120510,niif_fin_120510,120510,Compa��as De Seguros De Vida,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
