id,name,account_id,display_name, - ,reconcile,user_type_id:id,chart_template_id:id,tag_ids:id
l10n_co_budgetary_position.niif_fin_00,0 - Co Niif Financiero Root,0,Co Niif Financiero Root,,0,account.data_account_off_sheet,chart_template_niif_financiero,
l10n_co_budgetary_position.niif_fin_1,1 - Activo,1,Activo,,0,account.data_account_off_sheet,chart_template_niif_financiero,
l10n_co_budgetary_position.niif_fin_11,11 - Efectivo Y Equivalentes Al Efectivo,11,Efectivo Y Equivalentes Al Efectivo,,0,account.data_account_off_sheet,chart_template_niif_financiero,
l10n_co_budgetary_position.niif_fin_1105,1105 - Caja,1105,Caja,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,110505,Efectivo,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,110510,Cheques,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,110515,Depósitos Por Primas Recaudadas,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,110520,Caja Menor,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,110595,Otros Caja,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
l10n_co_budgetary_position.niif_fin_1110,1110 - Banco De La República,1110,Banco De La República,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,111005,Cuenta Corriente Bancaria,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,111010,Certificados De Cambio Propios,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,111015,Certificados De Cambio En Administración,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,111020,Depósitos De Contracción Monetaria,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
,,111095,Otros Banco De La República,group_fin_1_1_efe_equ,1,account.data_account_type_liquidity,chart_template_niif_financiero,aat_1012_1110_K
l10n_co_budgetary_position.niif_fin_1115,1115 - Bancos Y Otras Entidades Financieras,1115,Bancos Y Otras Entidades Financieras,,0,account.data_account_off_sheet,chart_template_niif_financiero,
