id,code,description
responsibility_A-01,A-01,Agente De Carga Internacional
responsibility_A-02,A-02,Agente Marítimo
responsibility_A-03,A-03,Almacén General De Depósito
responsibility_A-04,A-04,Comercializadora Internacional (C.I.)
responsibility_A-05,A-05,"Comerciante De La Zona Aduanera Especial Inírida, Puerto Carreño, Cumaribo y Primavera"
responsibility_A-06,A-06,Comerciantes De La Zona De Régimen Aduanero Especial De Leticia
responsibility_A-07,A-07,"Comerciantes De La Zona De Régimen Aduanero Especial De Maicao, Uribia Y Manaure"
responsibility_A-08,A-08,"Comerciantes De La Zona De Régimen Aduanero Especial De Urabá, Tumaco Y Guapí"
responsibility_A-09,A-09,"Comerciantes Del Puerto Libre De San Andrés, Providencia Y Santa Catalina"
responsibility_A-10,A-10,Depósito Público De Apoyo Logístico Internacional
responsibility_A-11,A-11,Depósito Privado Para Procesamiento Industrial
responsibility_A-12,A-12,Depósito Privado De Transformación O Ensamble
responsibility_A-13,A-13,Depósito Franco
responsibility_A-14,A-14,Depósito Privado Aeronáutico
responsibility_A-15,A-15,Depósito Privado Para Distribución Internacional
responsibility_A-16,A-16,Depósito Privado De Provisiones De A Bordo Para Consumo Y Para Llevar
responsibility_A-17,A-17,Depósito Privado Para Envíos Urgentes
responsibility_A-18,A-18,Depósito Privado
responsibility_A-19,A-19,Depósito Público
responsibility_A-20,A-20,Depósito Privado Para Distribución Internacional
responsibility_A-21,A-21,Exportador De Café
responsibility_A-22,A-22,Exportador
responsibility_A-23,A-23,Importador
responsibility_A-24,A-24,Intermediario De Tráfico Postal Y Envíos Urgentes
responsibility_A-25,A-25,Operador De Transporte Multimodal
responsibility_A-26,A-26,Sociedad De Intermediación Aduanera
responsibility_A-27,A-27,Titular De Puertos Y Muelles De Servicio Público O Privado
responsibility_A-28,A-28,Transportador Nfor Regimen De Importación Y/O Exportación
responsibility_A-29,A-29,Transportista Nacional Para Operaciones Del Régimen De Tránsito Aduanero
responsibility_A-30,A-30,Usuario Comercial Zona Franca
responsibility_A-32,A-32,Usuario Industrial De Bienes Zona Franca
responsibility_A-34,A-34,Usuario Industrial De Servicios Zona Franca
responsibility_A-36,A-36,Usuario Operador De Zona Franca
responsibility_A-37,A-37,Usuario Aduanero Permanente
responsibility_A-38,A-38,Usuario Altamente Exportador
responsibility_A-39,A-39,Usuario De Zonas Económicas Especiales De Exportación
responsibility_A-40,A-40,Depósito Privado De Instalaciones Industriales
responsibility_A-41,A-41,Beneficiarios De Programas Especiales De Exportación Pex
responsibility_A-42,A-42,Depósitos Privados Para Mercancías En Tránsito San Andrés
responsibility_A-43,A-43,Observadores De Las Operaciones De Importación
responsibility_A-44,A-44,Usuarios Sistemas Especiales Importación Exportación
responsibility_A-46,A-46,Transportador Nformac Régimen De Importación Y/O Exportación
responsibility_A-47,A-47,Transportador Terrestre Régimen De Importación Y/O Exportación
responsibility_A-48,A-48,Aeropuerto De Servicio Público O Privado
responsibility_A-49,A-49,Transportador Fluvial Régimen De Importación
responsibility_A-50,A-50,Usuario Industrial Zona Franca Especial
responsibility_A-53,A-53,Agencias De Aduana 1
responsibility_A-54,A-54,Usuario Operador Zona Franca Especial
responsibility_A-55,A-55,Agencias De Aduana 2
responsibility_A-56,A-56,Agencias De Aduana 3
responsibility_A-57,A-57,Agencias De Aduana 4
responsibility_A-58,A-58,Transportador Aéreo Nacional
responsibility_A-60,A-60,"Transportador Aéreo, Marítimo O Fluvial Modalidad Cabotaje"
responsibility_A-61,A-61,Importador De Alimentos De Consumo Humano Y Animal
responsibility_A-62,A-62,Importador Ocasional
responsibility_A-63,A-63,Importador De Maquinaría Y Sus Partes Decreto 2261 De 2012 
responsibility_A-64,A-64,Beneficiario Programa De Fomento Industria Automotriz-Profia
responsibility_A-99,A-99,Otro Tipo Agente Aduanero
responsibility_E-01,E-01,Agencia
responsibility_E-02,E-02,Establecimiento De Comercio
responsibility_E-03,E-03,Centro De Exportación Agrícola
responsibility_E-04,E-04,Centro De Exportación Animal
responsibility_E-05,E-05,Centro De Exportación Minera
responsibility_E-06,E-06,Centro De Exportación De Transformación
responsibility_E-07,E-07,Centro De Exportación De Servicios
responsibility_E-08,E-08,Oficina
responsibility_E-09,E-09,Sede
responsibility_E-10,E-10,Sucursal
responsibility_E-11,E-11,Consultorio
responsibility_E-12,E-12,Administraciones
responsibility_E-13,E-13,Seccionales
responsibility_E-14,E-14,Regionales
responsibility_E-15,E-15,Intendencias
responsibility_E-16,E-16,Local O Negocio
responsibility_E-17,E-17,Punto De Venta
responsibility_E-18,E-18,Fábrica
responsibility_E-19,E-19,Taller
responsibility_E-20,E-20,Cantera
responsibility_E-21,E-21,Pozo De Petróleo Y Gas
responsibility_E-22,E-22,Otro Lug De Tipo De Extrac Explotación De Recursos Naturales
responsibility_E-99,E-99,Otro Tipo De Establecimiento
responsibility_O-06,O-06,Ingresos Y Patrimonio
responsibility_O-07,O-07,Retención En La Fuente A Título De Renta
responsibility_O-08,O-08,Retención Timbre Nacional
responsibility_O-09,O-09,Retención En La Fuente En El Impuesto Sobre Las Ventas
responsibility_O-11,O-11,Ventas Régimen Común
responsibility_O-12,O-12,Ventas Régimen Simplificado
responsibility_O-13,O-13,Gran Contribuyente
responsibility_O-14,O-14,Informante De Exogena
responsibility_O-15,O-15,Autorretenedor
responsibility_O-16,O-16,Obligación De Facturar Por Ingresos De Bienes Y7O Servicios Excluidos
responsibility_O-17,O-17,Profesionales De Compra Y Venta De Divisas
responsibility_O-19,O-19,Productor Y/O Exportador De Bienes Exentos
responsibility_O-22,O-22,Obligado A Cumplir Deberes Formales A Nombre De Terceros
responsibility_O-23,O-23,Agente De Retención En El Impuesto Sobre Las Ventas
responsibility_O-32,O-32,Impuesto Nacional A La Gasolina Y Al Acpm
responsibility_O-33,O-33,Impuesto Nacional Al Consumo
responsibility_O-34,O-34,Régimen Simplificado Impuesto Nacional Consumo Rest Y Bares
responsibility_O-36,O-36,Establecimiento Permanente
responsibility_O-37,O-37,Obligado A Facturar Electrónicamente Modelo 2242
responsibility_O-38,O-38,Facturación Electrónica Voluntaria Modelo 2242
responsibility_O-39,O-39,Proveedor De Servicios Tecnológicos PST Modelo 2242
responsibility_O-47,O-47,Régimen Simple De Tributación – Simple
responsibility_O-48,O-48,Impuesto Sobre Las Ventas -IVA
responsibility_O-49,O-49,No Responsable de Iva
responsibility_O-52,O-52,Facturador Electrónico
responsibility_O-99,O-99,Otro Tipo De Obligado
responsibility_R-00-PN,R-00-PN,Clientes Del Exterior
responsibility_R-06-PJ,R-06-PJ,Apoderado Especial PJ
responsibility_R-07-PJ,R-07-PJ,Apoderado Generall PJ
responsibility_R-12-PJ,R-12-PJ,Factor PJ
responsibility_R-12-PN,R-12-PN,Factor PN
responsibility_R-16-PJ,R-16-PJ,Mandatario PJ
responsibility_R-16-PN,R-16-PN,Mandatario PN
responsibility_R-25-PN,R-25-PN,Agente Interventosr PN
responsibility_R-99-PN,R-99-PN,1
