id,code,name,payment_type
payment_option_1,1,Instrumento No Definido,inbound
payment_option_2,2,Crédito ACH,inbound
payment_option_3,3,Débito ACH,inbound
payment_option_4,4,Reversión Débito De Demanda ACH,inbound
payment_option_5,5,Reversión Crédito De Demanda ACH,inbound
payment_option_6,6,Crédito De Demanda ACH,inbound
payment_option_7,7,Débito De Demanda ACH,inbound
payment_option_9,9,Clearing Nacional O Regional,inbound
payment_option_10,10,Efectivo,inbound
payment_option_11,11,Reversión Crédito Ahorro,inbound
payment_option_12,12,Reversión Débito Ahorro,inbound
payment_option_13,13,Crédito Ahorro,inbound
payment_option_14,14,Débito Ahorro,inbound
payment_option_15,15,Bookentry Crédito,inbound
payment_option_16,16,Bookentry Débito,inbound
payment_option_18,18,Desembolso (CCD) débito,inbound
payment_option_19,19,Crédito Pago negocio corporativo (CTP),inbound
payment_option_20,20,Cheque,inbound
payment_option_21,21,Poyecto bancario,inbound
payment_option_23,23,Cheque bancario de gerencia,inbound
payment_option_24,24,Nota cambiaria esperando aceptación,inbound
payment_option_25,25,Cheque certificado,inbound
payment_option_26,26,Cheque Local,inbound
payment_option_31,31,Transferencia Débito,inbound
payment_option_32,32,Desembolso Crédito plus (CCD+),inbound
payment_option_33,33,Desembolso Débito plus (CCD+),inbound
payment_option_34,34,Pago y depósito pre acordado (PPD),inbound
payment_option_35,35,Desembolso Crédito (CCD),inbound
payment_option_36,36,Desembolso Débito (CCD),inbound
payment_option_37,37,Pago Negocio Corporativo Ahorros Crédito (CTP),inbound
payment_option_38,38,Pago Negocio Corporativo Ahorros Débito (CTP),inbound
payment_option_39,39,Crédito Intercambio Corporativo (CTX),inbound
payment_option_40,40,Débito Intercambio Corporativo (CTX),inbound
payment_option_41,41,Desembolso Crédito plus (CCD+),inbound
payment_option_42,42,Consignación bancaria,inbound
payment_option_43,43,Desembolso Débito plus (CCD+),inbound
payment_option_44,44,Nota cambiaria,inbound
payment_option_45,45,Transferencia Crédito Bancario,inbound
payment_option_46,46,Transferencia Débito Interbancario,inbound
payment_option_47,47,Transferencia Débito Bancaria,inbound
payment_option_48,48,Tarjeta Crédito,inbound
payment_option_49,49,Tarjeta Débito,inbound
payment_option_50,50,Postgiro,inbound
payment_option_51,51,Telex estándar bancario,inbound
payment_option_52,52,Pago comercial urgente,inbound
payment_option_53,53,Pago Tesorería Urgente,inbound
payment_option_60,60,Nota promisoria,inbound
payment_option_61,61,Nota promisoria firmada por el acreedor,inbound
payment_option_62,62,"Nota promisoria firmada por el acreedor, avalada por el banco",inbound
payment_option_63,63,"Nota promisoria firmada por el acreedor, avalada por un tercero",inbound
payment_option_64,64,Nota promisoria firmada pro el banco,inbound
payment_option_65,65,Nota promisoria firmada por un banco avalada por otro banco,inbound
payment_option_66,66,Nota promisoria firmada,inbound
payment_option_67,67,Nota promisoria firmada por un tercero avalada por un banco,inbound
payment_option_71,71,Bonos,inbound
payment_option_72,72,Vales,inbound
payment_option_77,77,Retiro de una nota por el acreedor sobre un tercero,inbound
payment_option_78,78,Retiro de una nota por el acreedor sobre un tercero avalada por un banco,inbound
payment_option_91,91,Nota bancaria transferible,inbound
payment_option_92,92,Cheque local transferible,inbound
payment_option_93,93,Giro referenciado,inbound
payment_option_94,94,Giro urgente,inbound
payment_option_95,95,Giro formato abierto,inbound
payment_option_96,96,Método de pago solicitado no usuado,inbound
payment_option_97,97,Clearing entre partners,inbound
payment_option_ZZZ,ZZZ,Otro,inbound
