id,city_id:l10n_co_edi_code,code,type,name
zip_co_05_0001,5001,50001,urban,050001 - Andalucía- La Francia- La Frontera- La Isla- Pablo VI- Playón de Los Comuneros- Villa del Socorro- Villa Niza
zip_co_05_0002,5001,50002,urban,050002 - Aldea Pablo VI- Carpinelo- El Compromiso- La Avanzada- La Esperanza No.2- Popular- Santo Domingo Savio No.1- Santo Domingo Savio No.2
zip_co_05_0003,5001,50003,urban,050003 - Granizal- La Rosa- Moscú No.1- Moscú No.2- San Pablo- Santa Cruz- Villa Guadalupe
zip_co_05_0004,5001,50004,urban,050004 - Aranjuez- Berlin- Bermejal-Los Alamos- La piñuela- Palermo- San Isidro
zip_co_05_0005,5001,50005,urban,050005 - Campo Valdés No.2- La Salle- Las Granjas- María Cano-Carambolas- Oriente- San José La Cima No.1- San José La Cima No.2- Santa Inés
zip_co_05_0006,5001,50006,urban,050006 - Brasilia- Campo Valdés No.1- Las Esmeraldas- Miranda- Moravia
zip_co_05_0007,5001,50007,rural,050007 - Barro Blanco- La Honda
zip_co_05_0010,5001,50010,urban,050010 - El Chagualo- Estación Villa- Hospital San Vicente de Paúl- Jardín Botánico- Jesús Nazareno- Manrique Central No.1- Parque Norte- San Benito- San Pedro- Sevilla- Universidad de Antioquia
zip_co_05_0011,5001,50011,urban,050011 - Batallón Girardot- El Pomar- El Raizal- La Cruz- Manrique Central No.2- Manrique Oriental- Versalles No.1- Versalles No.2
zip_co_05_0012,5001,50012,urban,050012 - Boston- La Candelaria- La Mansión- Los Ángeles- Prado- San Miguel- Villa Hermosa- Villa Nueva
zip_co_05_0013,5001,50013,urban,050013 - Barrio Caycedo- El Pinal- Enciso- La Ladera- La Libertad- LLanaditas- Los Mangos- Sucre- Trece de Noviembre
zip_co_05_0014,5001,50014,urban,050014 - Alejandro Echavarría- Barrios de Jesús- Juan Pablo II- La Sierra- Las Estancias- Ocho de Marzo- San Antonio- Villa Lilliam- Villa Turbay- Villatina- Calle Nueva
zip_co_05_0015,5001,50015,urban,050015 - Calle Nueva- Centro Administrativo- Corazón de Jesús- Guayaquil- La Alpujarra- Perpetuo Socorro
zip_co_05_0016,5001,50016,urban,050016 - Asomadera No.1- Barrio Colón- Bomboná No.1- Buenos Aires- El Salvador- Gerona- Las Palmas- San Diego
zip_co_05_0017,5001,50017,rural,050017 - Barro Blanco- El Llano SE-  El Placer-  El Plan-  Mazo-  Perico-  Piedra Gorda
zip_co_05_0018,5001,50018,rural,050018 - Sin Informacion de Veredas
zip_co_05_0020,5001,50020,urban,050020 - Bomboná No.2- Cataluña- La Milagrosa- Loreto- Los Cerros El Vergel- Miraflores
zip_co_05_0021,5001,50021,urban,050021 - Altos del Poblado- Asomadera No.2- Asomadera No.3- Barrio Colombia- Castropol- El Poblado- El Tesoro- La Florida- Lalinde- Las Lomas No.1- Las Lomas No.2- Manila- Villa Carlota
zip_co_05_0022,5001,50022,urban,050022 - Alejandría- Astorga- El Castillo- El Diamante No.2- La Aguacatala- Los Balsos No.1- Los Balsos No.2- Los Naranjos- Patio Bonito- San Lucas- Santa María de Los Ángeles
zip_co_05_0023,5001,50023,urban,050023 - El Rincón- El Rodeo- Guayabal- La Colina- La Hondonada- La Mota
zip_co_05_0024,5001,50024,urban,050024 - Campo Amor- Cristo Rey- Parque Juan Pablo II- Santa Fé- Tenche- Trinidad
zip_co_05_0025,5001,50025,urban,050025 - Diego Echavarría- Granada- Las Playas- San Bernardo
zip_co_05_0026,5001,50026,urban,050026 - Altavista- Area de Expansión Altavista- La Gloria- La Loma de Los Bernal- La Palma- Las Violetas- Los Alpes
zip_co_05_0027,5001,50027,rural,050027 - Aguas Frías
zip_co_05_0028,5001,50028,rural,050028 - Sin Informacion de Veredas
zip_co_05_0029,5001,50029,rural,050029 - Área de Expansión San Antonio de Prado- Buga Patio Bonito-  El Salado-  San José
zip_co_05_0030,5001,50030,urban,050030 - Belén- Cerro Nutibara- El Nogal-Los Almendros- Fátima- Los Conquistadores- Miravalle- Rosales
zip_co_05_0031,5001,50031,urban,050031 - Bolivariana- El Velódromo- Florida Nueva- Las Acacias- Laureles- Lorena- Los Pinos- Naranjal- San Joaquín- U.P.B
zip_co_05_0032,5001,50032,urban,050032 - Barrio Cristóbal- Belencito- Campo Alegre- El Danubio- La América- La Castellana- La Floresta- Las Mercedes- Nueva Villa del Aburrá- Santa Mónica- Santa Teresita- Simón Bolívar
zip_co_05_0033,5001,50033,urban,050033 - Antonio Nariño- Betania- Eduardo Santos- El Corazón- El Salado- El Socorro- Las Independencias- Nuevos Conquistadores- San Javier No.1- San Javier No.2- Santa Lucía- Veinte de Julio
zip_co_05_0034,5001,50034,urban,050034 - Altamira- Batallón Cuarta Brigada- Bosques de San Pablo- Caribe- Carlos E. Restrepo- Cerro El Volador- Cuarta Brigada- Ecoparque Cerro El Volador- Estadio- Facultad de Minas U. Nacional- Facultad Veterinaria y Zootecnia U.de.A.- La Pilarica- Los Colores-
zip_co_05_0035,5001,50035,urban,050035 - Area de Expansión San Cristóbal- Blanquizal- Calasanz- Calasanz Parte Alta- El Pesebre- Ferrini- Juan XXIII La Quiebra- La Pradera- Los Alcázares- Metropolitano- Olaya Herrera- Santa Rosa de Lima
zip_co_05_0036,5001,50036,urban,050036 - Cucaracho- Fuente Clara- Robledo- Santa Margarita
zip_co_05_0037,5001,50037,rural,050037 - El Astillero- El Llano-  El Patio-  El Uvito-  La Cuchilla-  Naranjal-  Volcana Guayabal
zip_co_05_0040,5001,50040,urban,050040 - Alfonso Lopez- Córdoba- Cementerio Universal- Francisco Antonio Zea- Kennedy- Lopez de  Mesa- Oleoducto- Terminal de Transporte
zip_co_05_0041,5001,50041,urban,050041 - Aures No.1- Aures No.2- Bello Horizonte- El Diamante- Palenque- Villa Flora
zip_co_05_0042,5001,50042,urban,050042 - Belalcázar- Castilla- Girardot- La Esperanza- Pedregal- Tricentenario
zip_co_05_0043,5001,50043,urban,050043 - Doce de Octubre No.1- Doce de Octubre No.2- El Triunfo- Mirador del Doce- Picachito- Picacho- Progreso No.2- San Martín de Porres
