"id","name","type","full_name"
"rpi_mrp_s01","01 - Agricultura & Ganadería","mrp","Agricultura, ganadería, caza y actividades de servicios conexas "
"rpi_mrp_s02","02 - Silvicultura & Madera","mrp","Silvicultura y extracción de madera"
"rpi_mrp_s03","03 - Pesca & Acuicultura","mrp","Pesca y acuicultura"
"rpi_mrp_s05","05 - Extracción Carbón & Lignito","mrp","Extracción de carbón de piedra y lignito"
"rpi_mrp_s06","06 - Extracción Petróleo & Gas","mrp","Extracción de petróleo crudo y gas natural"
"rpi_mrp_s07","07 - Extracción Minerales Metalíferos","mrp","Extracción de minerales metalíferos"
"rpi_mrp_s08","08 - Extracción Otras Minas & Canteras","mrp","Extracción de otras minas y canteras"
"rpi_mrp_s09","09 - Actividades Apoyo Explotación Minas & Canteras","mrp","Actividades de servicios de apoyo para la explotación de minas y canteras"
"rpi_mrp_s10","10 - Elaboración Productos Alimenticios","mrp","Elaboración de productos alimenticios"
"rpi_mrp_s11","11 - Elaboración Bebidas","mrp","Elaboración de bebidas"
"rpi_mrp_s12","12 - Elaboración Productos Tabaco","mrp","Elaboración de productos de tabaco"
"rpi_mrp_s13","13 - Fabricación Productos Textiles","mrp","Fabricación de productos textiles"
"rpi_mrp_s14","14 - Confección Prendas Vestir","mrp","Confección de prendas de vestir"
"rpi_mrp_s15","15 - Proceso & Fabricación Artículos Cuero","mrp","Curtido y recurtido de cueros; fabricación de calzado; fabricación de artículos de viaje, maletas, bolsos de mano y artículos similares, y fabricación de artículos de talabartería y guarnicionería; adobo y teñido de pieles"
"rpi_mrp_s16","16 - Proceso & Fabricación Productos Madera & Corcho No Muebles","mrp","Transformación de la madera y fabricación de productos de madera y de corcho, excepto muebles; fabricación de artículos de cestería y espartería"
"rpi_mrp_s17","17 - Fabricación Papel & Carton","mrp","Fabricación de papel, cartón y productos de papel y cartón"
"rpi_mrp_s18","18 - Actividades Impresión & Copiado","mrp","Actividades de impresión y de producción de copias a partir de grabaciones originales"
"rpi_mrp_s19","19 - Coquización & Combustibles","mrp","Coquización, fabricación de productos de la refinación del petróleo y actividad de mezcla de combustibles"
"rpi_mrp_s20","20 - Fabricación Productos Químicos","mrp","Fabricación de sustancias y productos químicos"
"rpi_mrp_s21","21 - Fabricación Productos Farmacéuticos","mrp","Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
"rpi_mrp_s22","22 - Fabricación Productos Caucho & Plástico","mrp","Fabricación de productos de caucho y de plástico"
"rpi_mrp_s23","23 - Fabricación Productos Minerales No Metálicos","mrp","Fabricación de otros productos minerales no metálicos"
"rpi_mrp_s24","24 - Fabricación Productos Metalúrgicos Básicos","mrp","Fabricación de productos metalúrgicos básicos"
