id,code,name,group_id:id,reconcile,account_type,chart_template_id:id,tag_ids:id
niif_sol_00,0,Co Niff Solidario Root,,0,off_balance,chart_template_niif_solidario,
niif_sol_1,1,Activo,,0,off_balance,chart_template_niif_solidario,
niif_sol_11,11,Efectivo Y Equivalente Al Efectivo,,0,off_balance,chart_template_niif_solidario,
niif_sol_1105,1105,Caja,,0,off_balance,chart_template_niif_solidario,
niif_sol_110505,110505,Caja General,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_solidario,
niif_sol_110510,110510,Caja Menor,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_solidario,
niif_sol_1110,1110,Bancos Y Otras Entidades Con Actividad Financiera,,0,off_balance,chart_template_niif_solidario,
niif_sol_111005,111005,Bancos Comerciales,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_solidario,aat_1012_1110_K
niif_sol_111010,111010,Bancos Cooperativos,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_solidario,aat_1012_1110_K
niif_sol_111015,111015,Entidades Sector Solidario,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_solidario,aat_1012_1110_K
niif_sol_111020,111020,Entidades Del Exterior,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_solidario,aat_1012_1110_K
niif_sol_111025,111025,Otras Entidades,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_solidario,aat_1012_1110_K
niif_sol_1115,1115,Equivalentes Al Efectivo (Compromiso De Pago),,0,off_balance,chart_template_niif_solidario,
niif_sol_111505,111505,"Depósitos A Corto Plazo, Clasificados Como Equivalentes Al Efectivo",group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_solidario,aat_1012_1110_K
niif_sol_111510,111510,"Inversiones A Corto Plazo, Clasificados Como Equivalentes Al Efectivo",group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_solidario,aat_1012_1110_K
niif_sol_111515,111515,Fondos Fiduciarios A La Vista,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_solidario,aat_1012_1110_K
