"id","code","name","reconcile","account_type","name@es","group_id:id","tag_ids/id"
"coc_puc_000000",0,"Co Commercial Puc Raiz",0,"off_balance","Co Comercial Puc Raiz",,"account.account_tag_operating"
"coc_puc_100000",100000,"Asset",0,"off_balance","Activo",,"account.account_tag_financing"
"coc_puc_110000",110000,"Available",0,"off_balance","Disponible",,"account.account_tag_financing"
"coc_puc_110500",110500,"Cash",0,"off_balance","Dinero",,"account.account_tag_financing"
"coc_puc_110505",110505,"General Cash",1,"asset_cash","Efectivo general","group_1_1_efe_equ","account.account_tag_financing"
"coc_puc_110510",110510,"Minor Cash",1,"asset_cash","Efectivo menor","group_1_1_efe_equ","account.account_tag_financing"
"coc_puc_110515",110515,"Foreing Currency",1,"asset_cash","Moneda extranjera","group_1_1_efe_equ","account.account_tag_financing"
"coc_puc_110595",110595,"Other Cash",1,"asset_cash","Otro efectivo","group_1_1_efe_equ","account.account_tag_financing"
"coc_puc_110599",110599,"Internal Transfer",1,"asset_cash","Transferencia interna","group_1_1_efe_equ","account.account_tag_financing"
"coc_puc_111000",111000,"Banks",0,"off_balance","Bancos",,"account.account_tag_financing"
"coc_puc_111005",111005,"Local Currency",1,"asset_cash","Moneda local","group_1_1_efe_equ","l10n_co_account.aat_1012_1110_K"
"coc_puc_111010",111010,"Foreign Currency",1,"asset_cash","Moneda extranjera","group_1_1_efe_equ","l10n_co_account.aat_1012_1110_K"
"coc_puc_111095",111095,"Otros Bancos",1,"asset_cash","Otros Bancos",,"l10n_co_account.aat_1012_1110_K"
"coc_puc_111500",111500,"Remittances in Transit",0,"off_balance","Remesas en Tránsito",,"account.account_tag_financing"
"coc_puc_111505",111505,"Local Currency",1,"asset_cash","Moneda local","group_1_1_efe_equ","l10n_co_account.aat_1012_1110_K"
"coc_puc_111510",111510,"Forign Currency",1,"asset_cash","moneda extranjera","group_1_1_efe_equ","l10n_co_account.aat_1012_1110_K"
"coc_puc_111595",111595,"Other Remittances",1,"asset_cash","Otras remesas","group_1_1_efe_equ","l10n_co_account.aat_1012_1110_K"
"coc_puc_111599",111599,"Deterioration of Remittances",1,"asset_cash","Deterioro de las remesas","group_1_1_efe_equ","l10n_co_account.aat_1012_1110_K"
"coc_puc_112000",112000,"Saving Account",0,"off_balance","Cuenta de ahorro",,"account.account_tag_financing"
"coc_puc_112005",112005,"Banks",1,"asset_cash","Bancos","group_1_1_efe_equ","l10n_co_account.aat_1012_1110_K"
"coc_puc_112010",112010,"Savings and Housing Corporations",1,"asset_cash","Corporaciones de Ahorro y Vivienda","group_1_1_efe_equ","l10n_co_account.aat_1012_1110_K"
"coc_puc_112015",112015,"Financial Cooperative Organizations",1,"asset_cash","Organizaciones cooperativas financieras","group_1_1_efe_equ","l10n_co_account.aat_1012_1110_K"
"coc_puc_112095",112095,"Other Saving Accounts",1,"asset_cash","Otras cuentas de ahorro","group_1_1_efe_equ","l10n_co_account.aat_1012_1110_K"
"coc_puc_112500",112500,"Funds",0,"off_balance","Fondos",,"account.account_tag_financing"
"coc_puc_112505",112505,"Revolving Local Currency",1,"asset_cash","Moneda local rotatoria","group_1_1_efe_equ","l10n_co_account.aat_1012_1110_K"
"coc_puc_112510",112510,"Revolving Forign Currency",1,"asset_cash","Moneda extranjera rotatoria","group_1_1_efe_equ","l10n_co_account.aat_1012_1110_K"
"coc_puc_112515",112515,"Special Local Currency",1,"asset_cash","Moneda local especial","group_1_1_efe_equ","l10n_co_account.aat_1012_1110_K"
"coc_puc_112520",112520,"Special Forign Currency",1,"asset_cash","Moneda Extranjera Especial","group_1_1_efe_equ","l10n_co_account.aat_1012_1110_K"
"coc_puc_112525",112525,"Amortization Cover Local Currency",1,"asset_cash","Cobertura de Amortización Moneda Local","group_1_1_efe_equ","l10n_co_account.aat_1012_1110_K"
"coc_puc_112530",112530,"Amortization Cover Local currency",1,"asset_cash","Cobertura de Amortización Moneda local","group_1_1_efe_equ","l10n_co_account.aat_1012_1110_K"
"coc_puc_112595",112595,"Other Funds",1,"asset_cash","Otros fondos","group_1_1_efe_equ","l10n_co_account.aat_1012_1110_K"
"coc_puc_112599",112599,"Dterioretion Funds",1,"asset_cash","Fondos de deterioro","group_1_1_efe_equ","l10n_co_account.aat_1012_1110_K"
"coc_puc_120000",120000,"Investment",0,"off_balance","Inversión",,"account.account_tag_financing"
"coc_puc_120500",120500,"Stocks Acciones",0,"off_balance","Acciones de acciones",,"account.account_tag_financing"
"coc_puc_120505",120505,"Agriculture Hunting and Forestry",0,"asset_current","Agricultura, Ganadería, Caza Y Silvicultura","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_120510",120510,"Fishing",0,"asset_current","Pesca","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_120515",120515,"Mining and Quarrying",0,"asset_current","Minas y canteras","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_120520",120520,"Manufacturing industry",0,"asset_current","Industria manufacturera","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_120525",120525,"Electricity, Gas And Water Supply",0,"asset_current","Suministro de electricidad","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_120530",120530,"Construction",0,"asset_current","Construcción","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_120535",120535,"Wholesale and Retail",0,"asset_current","Venta al por mayor y al por menor","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_120540",120540,"Hotels And Restaurants",0,"asset_current","Hoteles Y Restaurantes","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_120545",120545,"Transportation Storage and Communications",0,"asset_current","Transporte, Almacenamiento Y Comunicaciones","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_120550",120550,"Financial Activity",0,"asset_current","Actividad financiera","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_120555",120555,"Real Estate, Business and Rental Activities",0,"asset_current","Actividades inmobiliarias","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_120560",120560,"Teaching",0,"asset_current","Enseñando","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_120565",120565,"Social and Health Services",0,"asset_current","Servicios Sociales y de Salud","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_120570",120570,"Other Community, Social and Personal Service Activities",0,"asset_current","Otras actividades de servicios comunitarios","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_120595",120595,"Other Stocks",0,"asset_current","Otras acciones","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_120599",120599,"Deterioretion Stocks",0,"asset_current","Existencias en deterioro","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_121000",121000,"Quotas Or Shares Of Social Interest",0,"off_balance","Cuotas o acciones de interés social",,"account.account_tag_financing"
"coc_puc_121005",121005,"Agriculture, Livestock, Hunting and Forestry",0,"asset_current","Agricultura Caza y Silvicultura","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_121010",121010,"Fishing",0,"asset_current","Pesca","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_121015",121015,"Mining and Quarrying",0,"asset_current","Minas y canteras","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_121020",121020,"Manufacturing industry",0,"asset_current","Industria manufacturera","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_121025",121025,"Electricity, Gas and Water Supply",0,"asset_current","Suministro de Electricidad","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_121030",121030,"Construction",0,"asset_current","Construcción","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_121035",121035,"Wholesale and Retail",0,"asset_current","Venta al por mayor y al por menor","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_121040",121040,"Hotels And Restaurants",0,"asset_current","Hoteles Y Restaurantes","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_121045",121045,"Transportation, Storage and Communications",0,"asset_current","Transporte","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_121050",121050,"Financial Activity",0,"asset_current","Actividad financiera","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_121055",121055,"Real Estate, Business and Rental Activities",0,"asset_current","Actividades inmobiliarias","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_121060",121060,"Teaching",0,"asset_current","Enseñando","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_121065",121065,"Social and Health Services",0,"asset_current","Servicios Sociales y de Salud","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_121070",121070,"Other Community, Social and Personal Service Activities",0,"asset_current","Otras actividades de servicios comunitarios","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_121095",121095,"Other Quotas Or Share",0,"asset_current","Otras cuotas o acciones","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_121099",121099,"Deterioretion of Quotas Or Parts",0,"asset_current","Deterioro de Cuotas o Partes","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_121500",121500,"Bonds",0,"off_balance","Cautiverio",,"account.account_tag_financing"
"coc_puc_121505",121505,"Public Bonds local Currency",0,"asset_current","Bonos Públicos Moneda local","group_1_2_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_121510",121510,"Public Bonds Foreign Currency",0,"asset_current","Bonos Públicos Moneda Extranjera","group_1_2_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_121515",121515,"Ordinary Bonds",0,"asset_current","Bonos Ordinarios","group_1_2_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_121520",121520,"Bonds Convertible Into Shares",0,"asset_current","Bonos convertibles en acciones","group_1_2_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_121595",121595,"Other Bonds",0,"asset_current","Otros bonos","group_1_2_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_121599",121599,"Deterioration Bonds",0,"asset_current","Bonos de deterioro","group_1_2_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_122000",122000,"Cedulas",0,"off_balance","Cédulas",,"account.account_tag_financing"
"coc_puc_122005",122005,"Capitalization Cedulas",0,"asset_current","Cédulas de Capitalización","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_122010",122010,"Mortgage Cedulas",0,"asset_current","Cédulas Hipotecarias","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_122015",122015,"Investement Cedulas",0,"asset_current","Cédulas de Inversión","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_122095",122095,"Other Cedulas",0,"asset_current","Otras cédulas","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_122099",122099,"Deterioration Cedulas",0,"asset_current","Cédulas de Deterioro","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_122500",122500,"Certificates",0,"off_balance","Certificados",,"account.account_tag_financing"
"coc_puc_122505",122505,"Term Deposit Certificates (Cdt)",0,"asset_current","Certificados de Depósito a Plazo (Cdt)","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_122510",122510,"Saving Deposit Certificates (Cda)",0,"asset_current","Certificados de Depósito de Ahorro (Cda)","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_122515",122515,"Constant Value Savings Certificates",0,"asset_current","Certificados de Ahorro de Valor Constante","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_122520",122520,"Exchange Certificates",0,"asset_current","Certificados de cambio","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_122525",122525,"Valuable Coffee Certificates",0,"asset_current","Certificados de café valiosos","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_122530",122530,"Valuable Electric Certificates",0,"asset_current","Valiosos certificados eléctricos","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_122535",122535,"Tax Refund Certificates (Cert)",0,"asset_current","Certificados de reembolso de impuestos (Cert)","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_122540",122540,"Tourism Development Certificates",0,"asset_current","Certificados de Desarrollo Turístico","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_122545",122545,"Forest Investment Certificates (Cif)",0,"asset_current","Certificados de Inversión Forestal (Cif)","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_122595",122595,"Other Certificates",0,"asset_current","Otros certificados","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_122599",122599,"Deterioration Certificates",0,"asset_current","Certificados de deterioro","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_123000",123000,"Comercial Papers",0,"off_balance","Papeles Comerciales",,"account.account_tag_financing"
"coc_puc_123005",123005,"Commercial Companies",0,"asset_current","Compañías comerciales","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_123010",123010,"Industrial Companies",0,"asset_current","Empresas Industriales","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_123015",123015,"Services Companies",0,"asset_current","Empresas de Servicios","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_123095",123095,"Other Commercial Papers",0,"asset_current","Otros papeles comerciales","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_123099",123099,"Deterioration Commercial Papers",0,"asset_current","Deterioro de papeles comerciales","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_123500",123500,"Securities",0,"off_balance","Valores",,"account.account_tag_financing"
"coc_puc_123505",123505,"Agricultural Development Securities",0,"asset_current","Valores de desarrollo agrícola","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_123510",123510,"Changeable Securities for Exchange Certificates",0,"asset_current","Valores cambiables por certificados de cambio","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_123515",123515,"Treasury Securities (Tes)",0,"asset_current","Títulos del Tesoro (Tes)","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_123520",123520,"Participation Securities",0,"asset_current","Valores de participación","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_123525",123525,"Foment Credit Securities",0,"asset_current","Fomentar los valores de crédito","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_123530",123530,"Agroindustrial Financial Securities (Tfa)",0,"asset_current","Títulos Financieros Agroindustriales (Tfa)","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_123535",123535,"Coffe Saving Securities (Tac)",0,"asset_current","Valores de Ahorro de Café (Tac)","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_123540",123540,"National Saving Securities (Tan)",0,"asset_current","Títulos de Ahorro Nacional (Tan)","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_123545",123545,"Increasing Return Energy Securities (Ter)",0,"asset_current","Valores energéticos de rendimiento creciente (Ter)","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_123550",123550,"Educational Saving Securities (Tae)",0,"asset_current","Títulos de Ahorro Educativo (Tae)","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_123555",123555,"Industrial And Commercial Financial Securities",0,"asset_current","Valores financieros industriales y comerciales","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_123560",123560,"Treasures",0,"asset_current","Tesoros","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_123565",123565,"National Tax Refund Titles (Tidis)",0,"asset_current","Títulos De Devolución De Impuestos Nacionales (Tidis)","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_123570",123570,"Real Estate Titles",0,"asset_current","Títulos Inmobiliarios","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_123595",123595,"Other titles",0,"asset_current","Otros Títulos","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_123599",123599,"Impairment Other Titles",0,"asset_current","Deterioro Otros Títulos","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_124000",124000,"Banking or Financial Acceptances",0,"off_balance","Aceptaciones Bancarias O Financieras",,"account.account_tag_financing"
"coc_puc_124005",124005,"Commercial banks",0,"asset_current","Bancos Comerciales","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_124010",124010,"Trade Finance Companies",0,"asset_current","Compañías De Financiamiento Comercial","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
"coc_puc_124015",124015,"Financial Corporations",0,"asset_current","Corporaciones Financieras","group_1_2_inv_cor","l10n_co_account.aat_1012_1205_K"
