"id","code","name","reconcile","account_type","name@es","group_id:id","tag:ids:id"
"co_puc_000000","000000","Co Irfs Solidarity Root",0,"off_balance","Co Niff Solidario Root",,
"co_puc_100000","100000","Asset",0,"off_balance","Activo",,
"co_puc_110000","110000","Cash and Cash Equivalents",0,"off_balance","Efectivo Y Equivalente Al Efectivo",,
"co_puc_110500","110500","Box",0,"off_balance","Caja",,
"co_puc_110505","110505","General Cash",1,"asset_cash","Caja General","group_fin_1_1_efe_equ",
"co_puc_110510","110510","Small Cash",1,"asset_cash","Caja Menor","group_fin_1_1_efe_equ",
"co_puc_111000","111000","Banks And Other Entities With Financial Activity",0,"off_balance","Bancos Y Otras Entidades Con Actividad Financiera",,
"co_puc_111005","111005","Commercial banks",1,"asset_cash","Bancos Comerciales","group_fin_1_1_efe_equ","1012:1110:K"
"co_puc_111010","111010","Cooperative Banks",1,"asset_cash","Bancos Cooperativos","group_fin_1_1_efe_equ","1012:1110:K"
"co_puc_111015","111015","Solidarity Sector Entities",1,"asset_cash","Entidades Sector Solidario","group_fin_1_1_efe_equ","1012:1110:K"
"co_puc_111020","111020","Foreign Entities",1,"asset_cash","Entidades Del Exterior","group_fin_1_1_efe_equ","1012:1110:K"
"co_puc_111025","111025","Other Entities",1,"asset_cash","Otras Entidades","group_fin_1_1_efe_equ","1012:1110:K"
"co_puc_111500","111500","Cash Equivalents (Payment Commitment)",0,"off_balance","Equivalentes Al Efectivo (Compromiso De Pago)",,
"co_puc_111505","111505","Short-Term Deposits, Classified as Cash Equivalents",1,"asset_cash","Depositos A Corto Plazo, Clasificados Como Equivalentes Al Efectivo","group_fin_1_1_efe_equ","1012:1110:K"
"co_puc_111510","111510","Short-Term Investments, Classified as Cash Equivalents",1,"asset_cash","Inversiones A Corto Plazo, Clasificados Como Equivalentes Al Efectivo","group_fin_1_1_efe_equ","1012:1110:K"
"co_puc_111515","111515","Trust Funds at Sight",1,"asset_cash","Fondos Fiduciarios A La Vista","group_fin_1_1_efe_equ","1012:1110:K"
"co_puc_112000","112000","Cash for Restricted Use and/or for Specific Purpose",0,"off_balance","Efectivo De Uso Restringido Y/O Con Destinacion Especifica",,
"co_puc_112003","112003","Liquidity Fund - Funds Managed by Trust Companies",1,"asset_cash","Fondo De Liquidez - Fondos Administrados Por Sociedades Fiduciarias","group_fin_1_1_efe_equ","1012:1110:K"
"co_puc_112005","112005","Liquidity Fund - Savings Accounts",1,"asset_cash","Fondo De Liquidez - Cuentas De Ahorro","group_fin_1_1_efe_equ","1012:1110:K"
"co_puc_112006","112006","Liquidity Fund - Securities Funds Managed by Stock Broker Companies",1,"asset_cash","Fondo De Liquidez - Fondos De Valores Administrados Por Sociedades Comisionistas De Bolsa","group_fin_1_1_efe_equ","1012:1110:K"
"co_puc_112007","112007","Liquidity Fund - Term Deposit Certificate",1,"asset_cash","Fondo De Liquidez - Certificado De Deposito A Termino","group_fin_1_1_efe_equ","1012:1110:K"
"co_puc_112008","112008","Liquidity Fund - Term Savings Certificates",1,"asset_cash","Fondo De Liquidez - Certificados De Ahorro A Termino","group_fin_1_1_efe_equ","1012:1110:K"
"co_puc_112010","112010","Trust Funds",1,"asset_cash","Fondos Fiduciarios","group_fin_1_1_efe_equ","1012:1110:K"
"co_puc_112015","112015","Special Funds - Social and Mutual Funds",1,"asset_cash","Fondos Especiales - Fondos Sociales Y Mutuales","group_fin_1_1_efe_equ","1012:1110:K"
"co_puc_112020","112020","Replacement Fund Trust",1,"asset_cash","Fideicomiso Fondo De Reposicion","group_fin_1_1_efe_equ","1012:1110:K"
"co_puc_112025","112025","Administration Trust",1,"asset_cash","Fideicomiso De Administracion","group_fin_1_1_efe_equ","1012:1110:K"
"co_puc_112030","112030","Other Special Funds",1,"asset_cash","Otros Fondos Especiales","group_fin_1_1_efe_equ","1012:1110:K"
"co_puc_112035","112035","Exchange Funds",1,"asset_cash","Fondos De Cambio","group_fin_1_1_efe_equ","1012:1110:K"
"co_puc_112040","112040","Deposits Delivered as Guarantee",1,"asset_cash","Depositos Entregados En Garantia","group_fin_1_1_efe_equ","1012:1110:K"
"co_puc_112045","112045","Remittances in Transit",1,"asset_cash","Remesas En Transito","group_fin_1_1_efe_equ","1012:1110:K"
"co_puc_112100","112100","Liquidity Fund – Checking Accounts",0,"off_balance","Fondo De Liquidez – Cuentas Corrientes",,
"co_puc_112300","112300","Liquidity Fund - Collective Investment Funds Managed by Trust Companies",0,"off_balance","Fondo De Liquidez - Fondos De Inversion Colectiva Administrados Por Sociedades Fiduciarias",,
"co_puc_112500","112500","Liquidity Fund - Savings Accounts",0,"off_balance","Fondo De Liquidez - Cuentas De Ahorro",,
"co_puc_112600","112600","Liquidity Fund - Collective Investment Funds Managed by Stock Broker Companies",0,"off_balance","Fondo De Liquidez - Fondos De Inversion Colectiva Administrados Por Sociedades Comisionistas De Bolsa",,
"co_puc_112700","112700","Liquidity Fund - Term Deposit Certificate",0,"off_balance","Fondo De Liquidez - Certificado De Deposito A Termino",,
"co_puc_112800","112800","Liquidity Fund - Term Savings Certificates",0,"off_balance","Fondo De Liquidez - Certificados De Ahorro A Termino",,
"co_puc_122800","122800","Investments",0,"off_balance","Inversiones",,
"co_puc_120300","120300","Liquidity Fund",0,"off_balance","Fondo De Liquidez",,
"co_puc_120305","120305","Titles Issued Endorsed, Accepted or Guaranteed by Institutions Supervised by the Financial Superintendency",1,"asset_cash","Titulos Emitidos Avalados, Aceptados O Garantizados Por Instituciones Vigiladas Por La Superintendencia Financiera","group_fin_1_2_inv_cor","1012:1204:K"
"co_puc_120310","120310","Term Deposit Certificate",1,"asset_cash","Certificado De Deposito A Termino","group_fin_1_2_inv_cor","1012:1204:K"
"co_puc_120315","120315","Funds Managed by Trust Companies",1,"asset_cash","Fondos Administrados Por Sociedades Fiduciarias","group_fin_1_2_inv_cor","1012:1204:K"
"co_puc_120320","120320","Securities Funds Managed by Stock Broker Companies",1,"asset_cash","Fondos De Valores Administrados Por Sociedades Comisionistas De Bolsa","group_fin_1_2_inv_cor","1012:1204:K"
"co_puc_120325","120325","Autonomous Assets Managed by Trust Companies",1,"asset_cash","Patrimonio Autonomo Administrado Por Sociedades Fiduciarias","group_fin_1_2_inv_cor","1012:1204:K"
"co_puc_120399","120399","Impairment of Investments Liquidity Fund (Cr)",1,"asset_cash","Deterioro Inversiones Fondo De Liquidez (Cr)","group_fin_1_2_inv_cor","1012:1204:K"
"co_puc_120400","120400","Negotiable Investments in Debt Securities",0,"off_balance","Inversiones Negociables En Titulos De Deuda",,
"co_puc_120401","120401","Internal Public Debt Titles Issued Or Guaranteed By The Nation",1,"asset_cash","Titulos De Deuda Publica Interna Emitidos O Garantizados Por La Nacion","group_fin_1_2_inv_cor","1012:1204:K"
"co_puc_120402","120402","External Public Debt Titles Issued Or Guaranteed By The Nation",1,"asset_cash","Titulos De Deuda Publica Externa Emitidos O Garantizados Por La Nacion","group_fin_1_2_inv_cor","1012:1204:K"
"co_puc_120403","120403","Other Public Debt Securities",1,"asset_cash","Otros Titulos De Deuda Publica","group_fin_1_2_inv_cor","1012:1204:K"
"co_puc_120404","120404","Titles Issued, Endorsed, Accepted Or Guaranteed By Fogafin",1,"asset_cash","Titulos Emitidos, Avalados, Aceptados O Garantizados Por El Fogafin","group_fin_1_2_inv_cor","1012:1204:K"
"co_puc_120405","120405","Titles Issued, Endorsed, Accepted or Guaranteed by Fogacoop",1,"asset_cash","Titulos Emitidos, Avalados, Aceptados O Garantizados Por El Fogacoop","group_fin_1_2_inv_cor","1012:1204:K"
"co_puc_120406","120406","Titles Issued by the Bank of the Republic",1,"asset_cash","Titulos Emitidos Por El Banco De La Republica","group_fin_1_2_inv_cor","1012:1204:K"
"co_puc_120407","120407","Mortgage bonds",1,"asset_cash","Bonos Hipotecarios","group_fin_1_2_inv_cor","1012:1204:K"
"co_puc_120408","120408","Mortgage Titles",1,"asset_cash","Titulos Hipotecarios","group_fin_1_2_inv_cor","1012:1204:K"
"co_puc_120409","120409","Titles of Credit Content Derived from the Mortgage Portfolio Securitization Process",1,"asset_cash","Titulos Del Contenido Crediticio Derivados De Proceso De Titularizacion De Cartera Hipotecaria","group_fin_1_2_inv_cor","1012:1204:K"
"co_puc_120410","120410","Titles of the Credit Content Derived from the Underlying Securitization Process Other than the Mortgage Portfolio",1,"asset_cash","Titulos Del Contenido Crediticio Derivados De Proceso De Titularizacion Subyacentes Distintos De Cartera Hipotecaria","group_fin_1_2_inv_cor","1012:1204:K"
"co_puc_120411","120411","Securities Issued, Guaranteed, Accepted Or Guaranteed By Institutions Supervised By The Financial Superintendency (Including Bonds Mandatory Or Optionally Convertible Into Shares",1,"asset_cash","Titulos Emitidos, Avalados, Aceptados O Garantizados Por Instituciones Vigiladas Por La Superintendencia Financiera ( Incluidos Los Bonos Obligatoria U Opcionalmente Convertibles En Acciones","group_fin_1_2_inv_cor","1012:1204:K"
"co_puc_120414","120414","Securities Issued by Entities Not Supervised by the Financial Superintendency (Including Mandatory or Optionally Convertible Bonds into Shares)",1,"asset_cash","Titulos Emitidos Por Entidades No Vigiladas Por La Superintendencia Financiera (Incluidos Los Bonos Obligatoria U Opcionalmente Convertibles En Acciones)","group_fin_1_2_inv_cor","1012:1204:K"
"co_puc_120415","120415","Securities Issued Endorsed Or Guaranteed By Foreign Governments",1,"asset_cash","Titulos Emitidos Avalados O Garantizados Por Gobiernos Extranjeros","group_fin_1_2_inv_cor","1012:1204:K"
"co_puc_120416","120416","Securities Issued Endorsed Or Guaranteed By Foreign Central Banks",1,"asset_cash","Titulos Emitidos Avalados O Garantizados Por Bancos Centrales Extranjeros","group_fin_1_2_inv_cor","1012:1204:K"
"co_puc_120417","120417","Titles Issued Endorsed Or Guaranteed Or Accepted By Foreign Banks",1,"asset_cash","Titulos Emitidos Avalados O Garantizados O Aceptados Por Bancos Del Exterior","group_fin_1_2_inv_cor","1012:1204:K"
"co_puc_120418","120418","Titles Issued Endorsed or Guaranteed by Multilateral Credit Organizations",1,"asset_cash","Titulos Emitidos Avalados O Garantizados Por Organismos Multilaterales De Credito","group_fin_1_2_inv_cor","1012:1204:K"
