"id","sequence","name","amount","amount_type","type_tax_use","co_tax_group_id","active"
"2_l10n_co_tax_0",1,"5% VAT",5,"percent","purchase","tax_group_iva_5","False"
"2_l10n_co_tax_1",0,"19% VAT",19,"percent","purchase","tax_group_iva_19","False"
"2_l10n_co_tax_10",1,"0% EXEMPT",0,"percent","sale","tax_group_iva_0","False"
"2_l10n_co_tax_11",1,"0% E",0,"percent","sale","tax_group_iva_0","False"
"2_l10n_co_tax_12",1,"15% RteVAT 19%",-2.85,"percent","purchase","tax_group_r_iva_285","False"
"2_l10n_co_tax_13",1,"15% RteVAT 5%",-0.75,"percent","purchase","tax_group_r_iva_075","False"
"2_l10n_co_tax_14",1,"15% RteVAT 19% C",0.75,"percent","purchase","tax_group_r_iva_075","False"
"2_l10n_co_tax_15",1,"15% RteVAT 5% C",2.85,"percent","purchase","tax_group_r_iva_285","False"
"2_l10n_co_tax_16",1,"0.1% RteFte F C",-0.1,"percent","purchase","tax_group_r_ren_01","False"
"2_l10n_co_tax_17",1,"0.5% RteFte C",-0.5,"percent","purchase","tax_group_r_ren_05","False"
"2_l10n_co_tax_18",1,"10% RteFte C N P",-10,"percent","purchase","tax_group_r_ren_10","False"
"2_l10n_co_tax_19",1,"2.5% RteFte D",-2.5,"percent","purchase","tax_group_r_ren_25","False"
"2_l10n_co_tax_2",1,"16% D",16,"percent","purchase","tax_group_iva_16","False"
"2_l10n_co_tax_20",1,"10% RteFte C T T",-10,"percent","purchase","tax_group_r_ren_10","False"
"2_l10n_co_tax_21",1,"1% RteFte A Car",-1,"percent","purchase","tax_group_r_ren_1","False"
"2_l10n_co_tax_22",1,"1% RteFte IMMO",-1,"percent","purchase","tax_group_r_ren_1","False"
"2_l10n_co_tax_23",1,"4% RteFte S L",-4,"percent","purchase","tax_group_r_ren_4","False"
"2_l10n_co_tax_24",1,"1% RteFte F T",-1,"percent","purchase","tax_group_r_ren_1","False"
"2_l10n_co_tax_25",1,"6% RteFte S G",-6,"percent","purchase","tax_group_r_ren_6","False"
"2_l10n_co_tax_26",1,"2% RteFte S C",-2,"percent","purchase","tax_group_r_ren_2","False"
"2_l10n_co_tax_27",1,"3.5% RteFte Soft",-3.5,"percent","purchase","tax_group_r_ren_35","False"
"2_l10n_co_tax_28",1,"2% RteFte W C IMMO",-2,"percent","purchase","tax_group_r_ren_2","False"
"2_l10n_co_tax_29",1,"4% RteFte L L",-4,"percent","purchase","tax_group_r_ren_4","False"
"2_l10n_co_tax_30",1,"3.5% RteFte IMMO L",-3.5,"percent","purchase","tax_group_r_ren_35","False"
"2_l10n_co_tax_31",1,"7% RteFte G F",-7,"percent","purchase","tax_group_r_ren_7","False"
"2_l10n_co_tax_32",1,"10% RteFte N",-10,"percent","purchase","tax_group_r_ren_10","False"
"2_l10n_co_tax_33",1,"3.5% RteFte IT",-3.5,"percent","purchase","tax_group_r_ren_35","False"
"2_l10n_co_tax_34",1,"2.5% RteFte C IMMO",-2.5,"percent","purchase","tax_group_r_ren_25","False"
"2_l10n_co_tax_35",1,"3.5% RteFte NR",-3.5,"percent","purchase","tax_group_r_ren_35","False"
