id,code,name,tope
co_inputs_type_AFC,AFC,AFC,316.66
co_inputs_type_AFP_VOL,AFP,Volunteer Pension,316.66
co_inputs_type_BON,BON,Bonus Periodics,100
co_inputs_type_CAL_LOA,CAL_LOA,Calamity Loan,100
co_inputs_type_CAR_LOA,CAR_LOA,Car Loan,100
co_inputs_type_CTY_UNI,CTY_UNI,City Union,100
co_inputs_type_DEP,DEP,Dependants,32
co_inputs_type_EDU_LOA,EDU_LOA,Educational Loan,100
co_inputs_type_HOU,HOU,Housing Interest,100
co_inputs_type_HOU_LOA,HOU_LOA,Housing Loan,100
co_inputs_type_IND_UNI,IND_UNI,Industry Union,100
co_inputs_type_INS,INS,Insurance,100
co_inputs_type_KND,KND,Payment IN Kind,100
co_inputs_type_MED,MED,Prepaid Medicine,16
co_inputs_type_MED_LOA,MED_LOA,Medical Loan,100
co_inputs_type_OTH,OTH,Other Deductions,100
co_inputs_type_OTH_BON,OTH_BON,Other Periodics,100
co_inputs_type_OTH_EXC,OTH_EXC,Other Exempt Incomes,100
co_inputs_type_OTH_INS,OTH_INS,Other Insurance,100
co_inputs_type_OTH_LOA,OTH_LOA,Other Loan,100
co_inputs_type_OTH_UNI,OTH_UNI,Other Union,100
co_inputs_type_REC_LOA,REC_LOA,Recreational Loan,100
co_inputs_type_REG_UNI,REG_UNI,Regional Union,100
co_inputs_type_SEC_UNI,SEC_UNI,Sector Union,100
co_inputs_type_SUB,SUB,Not Salary Subsidy,100
co_inputs_type_SUB_UNI,SUB_UNI,Subsector Union,100
co_inputs_type_VAR_LOA,VAR_LOA,Variety Loan,100
