id,name,country_id,code,parameter_version_ids/id,parameter_version_ids/date_from,parameter_version_ids/parameter_value
l10n_co_hr_payroll.hr_rule_parameter_SMMLV,Current Legal Minimun Monthy Salary,,SMMLV,l10n_co_hr_payroll.hr_rule_parameter_SMMLV_2011,2011-01-01,532500
,,,,l10n_co_hr_payroll.hr_rule_parameter_SMMLV_2012,2012-01-01,566700
,,,,l10n_co_hr_payroll.hr_rule_parameter_SMMLV_2013,2013-01-01,589500
,,,,l10n_co_hr_payroll.hr_rule_parameter_SMMLV_2014,2014-01-01,616000
,,,,l10n_co_hr_payroll.hr_rule_parameter_SMMLV_2015,2015-01-01,644350
,,,,l10n_co_hr_payroll.hr_rule_parameter_SMMLV_2016,2016-01-01,689454
,,,,l10n_co_hr_payroll.hr_rule_parameter_SMMLV_2017,2017-01-01,737717
,,,,l10n_co_hr_payroll.hr_rule_parameter_SMMLV_2018,2018-01-01,781242
,,,,l10n_co_hr_payroll.hr_rule_parameter_SMMLV_2019,2019-01-01,828116
,,,,l10n_co_hr_payroll.hr_rule_parameter_SMMLV_2020,2020-01-01,877803
,,,,l10n_co_hr_payroll.hr_rule_parameter_SMMLV_2021,2021-01-01,908526
,,,,l10n_co_hr_payroll.hr_rule_parameter_SMMLV_2022,2022-01-01,1000000
,,,,l10n_co_hr_payroll.hr_rule_parameter_SMMLV_2023,2023-01-01,1160000
l10n_co_hr_payroll.hr_rule_parameter_AT,Transport Assistance,,AT,l10n_co_hr_payroll.hr_rule_parameter_AT_2011,2011-01-01,63600
,,,,l10n_co_hr_payroll.hr_rule_parameter_AT_2012,2012-01-01,67800
,,,,l10n_co_hr_payroll.hr_rule_parameter_AT_2013,2013-01-01,70500
,,,,l10n_co_hr_payroll.hr_rule_parameter_AT_2014,2014-01-01,72000
,,,,l10n_co_hr_payroll.hr_rule_parameter_AT_2015,2015-01-01,74000
,,,,l10n_co_hr_payroll.hr_rule_parameter_AT_2016,2016-01-01,77700
,,,,l10n_co_hr_payroll.hr_rule_parameter_AT_2017,2017-01-01,83140
,,,,l10n_co_hr_payroll.hr_rule_parameter_AT_2018,2018-01-01,88211
,,,,l10n_co_hr_payroll.hr_rule_parameter_AT_2019,2019-01-01,97032
,,,,l10n_co_hr_payroll.hr_rule_parameter_AT_2020,2020-01-01,102854
,,,,l10n_co_hr_payroll.hr_rule_parameter_AT_2021,2021-01-01,106454
,,,,l10n_co_hr_payroll.hr_rule_parameter_AT_2022,2022-01-01,117172
,,,,l10n_co_hr_payroll.hr_rule_parameter_AT_2023,2023-01-01,140606
l10n_co_hr_payroll.hr_rule_parameter_UVT,Tax Value Unit,,UVT,l10n_co_hr_payroll.hr_rule_parameter_UVT_2011,2011-01-01,25132
,,,,l10n_co_hr_payroll.hr_rule_parameter_UVT_2012,2012-01-01,26049
,,,,l10n_co_hr_payroll.hr_rule_parameter_UVT_2013,2013-01-01,26841
,,,,l10n_co_hr_payroll.hr_rule_parameter_UVT_2014,2014-01-01,27485
,,,,l10n_co_hr_payroll.hr_rule_parameter_UVT_2015,2015-01-01,28279
,,,,l10n_co_hr_payroll.hr_rule_parameter_UVT_2016,2016-01-01,29753
,,,,l10n_co_hr_payroll.hr_rule_parameter_UVT_2017,2017-01-01,31859
,,,,l10n_co_hr_payroll.hr_rule_parameter_UVT_2018,2018-01-01,33156
,,,,l10n_co_hr_payroll.hr_rule_parameter_UVT_2019,2019-01-01,34270
,,,,l10n_co_hr_payroll.hr_rule_parameter_UVT_2020,2020-01-01,35607
,,,,l10n_co_hr_payroll.hr_rule_parameter_UVT_2021,2021-01-01,36308
,,,,l10n_co_hr_payroll.hr_rule_parameter_UVT_2022,2022-01-01,38004
,,,,l10n_co_hr_payroll.hr_rule_parameter_UVT_2023,2023-01-01,42412
