id,rule_parameter_id,date_from,parameter_value
hr_rule_parameter_SMMLV_2011,hr_rule_parameter_SMMLV,2011-01-01,532500
hr_rule_parameter_SMMLV_2012,hr_rule_parameter_SMMLV,2012-01-01,566700
hr_rule_parameter_SMMLV_2013,hr_rule_parameter_SMMLV,2013-01-01,589500
hr_rule_parameter_SMMLV_2014,hr_rule_parameter_SMMLV,2014-01-01,616000
hr_rule_parameter_SMMLV_2015,hr_rule_parameter_SMMLV,2015-01-01,644350
hr_rule_parameter_SMMLV_2016,hr_rule_parameter_SMMLV,2016-01-01,689454
hr_rule_parameter_SMMLV_2017,hr_rule_parameter_SMMLV,2017-01-01,737717
hr_rule_parameter_SMMLV_2018,hr_rule_parameter_SMMLV,2018-01-01,781242
hr_rule_parameter_SMMLV_2019,hr_rule_parameter_SMMLV,2019-01-01,828116
hr_rule_parameter_SMMLV_2020,hr_rule_parameter_SMMLV,2020-01-01,877803
hr_rule_parameter_SMMLV_2021,hr_rule_parameter_SMMLV,2021-01-01,908526
hr_rule_parameter_SMMLV_2022,hr_rule_parameter_SMMLV,2022-01-01,1000000
hr_rule_parameter_SMMLV_2023,hr_rule_parameter_SMMLV,2023-01-01,1160000
hr_rule_parameter_AT_2011,hr_rule_parameter_AT,2011-01-01,63600
hr_rule_parameter_AT_2012,hr_rule_parameter_AT,2012-01-01,67800
hr_rule_parameter_AT_2013,hr_rule_parameter_AT,2013-01-01,70500
hr_rule_parameter_AT_2014,hr_rule_parameter_AT,2014-01-01,72000
hr_rule_parameter_AT_2015,hr_rule_parameter_AT,2015-01-01,74000
hr_rule_parameter_AT_2016,hr_rule_parameter_AT,2016-01-01,77700
hr_rule_parameter_AT_2017,hr_rule_parameter_AT,2017-01-01,83140
hr_rule_parameter_AT_2018,hr_rule_parameter_AT,2018-01-01,88211
hr_rule_parameter_AT_2019,hr_rule_parameter_AT,2019-01-01,97032
hr_rule_parameter_AT_2020,hr_rule_parameter_AT,2020-01-01,102854
hr_rule_parameter_AT_2021,hr_rule_parameter_AT,2021-01-01,106454
hr_rule_parameter_AT_2022,hr_rule_parameter_AT,2022-01-01,117172
hr_rule_parameter_AT_2023,hr_rule_parameter_AT,2023-01-01,140606
hr_rule_parameter_UVT_2011,hr_rule_parameter_UVT,2011-01-01,25132
hr_rule_parameter_UVT_2012,hr_rule_parameter_UVT,2012-01-01,26049
hr_rule_parameter_UVT_2013,hr_rule_parameter_UVT,2013-01-01,26841
hr_rule_parameter_UVT_2014,hr_rule_parameter_UVT,2014-01-01,27485
hr_rule_parameter_UVT_2015,hr_rule_parameter_UVT,2015-01-01,28279
hr_rule_parameter_UVT_2016,hr_rule_parameter_UVT,2016-01-01,29753
hr_rule_parameter_UVT_2017,hr_rule_parameter_UVT,2017-01-01,31859
hr_rule_parameter_UVT_2018,hr_rule_parameter_UVT,2018-01-01,33156
hr_rule_parameter_UVT_2019,hr_rule_parameter_UVT,2019-01-01,34270
hr_rule_parameter_UVT_2020,hr_rule_parameter_UVT,2020-01-01,35607
hr_rule_parameter_UVT_2021,hr_rule_parameter_UVT,2021-01-01,36308
hr_rule_parameter_UVT_2022,hr_rule_parameter_UVT,2022-01-01,38004
hr_rule_parameter_UVT_2023,hr_rule_parameter_UVT,2023-01-01,42412
