"id","account_credit","account_debit"
"l10n_co_hr_payroll.hr_salary_rule_INT_SAL",250505,510506
"l10n_co_hr_payroll.hr_salary_rule_MAT",250505,510569
"l10n_co_hr_payroll.hr_salary_rule_PAI_LEA",250505,136095
"l10n_co_hr_payroll.hr_salary_rule_BAS_SAL",250505,510506
"l10n_co_hr_payroll.hr_salary_rule_SAL_ADJ",250505,510506
"l10n_co_hr_payroll.hr_salary_rule_UNI_PER",250505,136095
"l10n_co_hr_payroll.hr_salary_rule_VAC",250505,510539
"l10n_co_hr_payroll.hr_salary_rule_EDT",250505,510515
"l10n_co_hr_payroll.hr_salary_rule_EDT_SH",250505,510515
"l10n_co_hr_payroll.hr_salary_rule_ENT",250505,510515
"l10n_co_hr_payroll.hr_salary_rule_ENT_SH",250505,510515
"l10n_co_hr_payroll.hr_salary_rule_NS",250505,510515
"l10n_co_hr_payroll.hr_salary_rule_COM",250505,510518
"l10n_co_hr_payroll.hr_salary_rule_ARL_INA",237006,237006
"l10n_co_hr_payroll.hr_salary_rule_EPS_INA",250505,136095
"l10n_co_hr_payroll.hr_salary_rule_EPS_INA_SUB",250505,136095
"l10n_co_hr_payroll.hr_salary_rule_EPS_INA_180",250505,136095
"l10n_co_hr_payroll.hr_salary_rule_EPS_INA_180_SUB",250505,510515
"l10n_co_hr_payroll.hr_salary_rule_EPS_PER",250505,510569
"l10n_co_hr_payroll.hr_salary_rule_LEAVE110",250505,510569
"l10n_co_hr_payroll.hr_salary_rule_LEAVE110_SUB",250505,510569
"l10n_co_hr_payroll.hr_salary_rule_LEAVE110_180",250505,510595
"l10n_co_hr_payroll.hr_salary_rule_LEAVE110_180_SUB",250505,510595
"l10n_co_hr_payroll.hr_salary_rule_EMP_INA",250505,510515
"l10n_co_hr_payroll.hr_salary_rule_EMP_INA_EXT",250505,510515
"l10n_co_hr_payroll.hr_salary_rule_SH",250505,510515
"l10n_co_hr_payroll.hr_salary_rule_TOT_INC",250505,510515
"l10n_co_hr_payroll.hr_salary_rule_SUB",250505,510521
"l10n_co_hr_payroll.hr_salary_rule_TRA_ASI",250505,510527
"l10n_co_hr_payroll.hr_salary_rule_TOT_OTH_INC",250505,510527
"l10n_co_hr_payroll.hr_salary_rule_SAL_ASI",250505,510506
"l10n_co_hr_payroll.hr_salary_rule_BIR_ASI",250505,510506
"l10n_co_hr_payroll.hr_salary_rule_BON",250505,510548
"l10n_co_hr_payroll.hr_salary_rule_PAR_ASI",250505,510545
"l10n_co_hr_payroll.hr_salary_rule_CLO_ASI",250505,510545
"l10n_co_hr_payroll.hr_salary_rule_CON_ASI",250505,510545
"l10n_co_hr_payroll.hr_salary_rule_DEA_ASI",250505,510545
"l10n_co_hr_payroll.hr_salary_rule_EDU_ASI",250505,510545
"l10n_co_hr_payroll.hr_salary_rule_FED_ASI",250505,510545
"l10n_co_hr_payroll.hr_salary_rule_HOU_ASI",250505,510545
"l10n_co_hr_payroll.hr_salary_rule_LAB_LOA_ASI",250505,510545
"l10n_co_hr_payroll.hr_salary_rule_MAI_ASI",250505,510545
"l10n_co_hr_payroll.hr_salary_rule_OPT_ASI",250505,510545
"l10n_co_hr_payroll.hr_salary_rule_OTH_BON",250505,510545
"l10n_co_hr_payroll.hr_salary_rule_OTH_ASI",250505,510545
"l10n_co_hr_payroll.hr_salary_rule_PRA_ASI",250505,510545
"l10n_co_hr_payroll.hr_salary_rule_PRA_TRA_ASI",250505,510545
"l10n_co_hr_payroll.hr_salary_rule_PRE_ASI",250505,510545
"l10n_co_hr_payroll.hr_salary_rule_PRI_ASI",250505,510545
"l10n_co_hr_payroll.hr_salary_rule_PRO_PRE_ASI",250505,510545
"l10n_co_hr_payroll.hr_salary_rule_SEC_ASI",250505,510545
"l10n_co_hr_payroll.hr_salary_rule_SPE_ASI",250505,510545
"l10n_co_hr_payroll.hr_salary_rule_TEC_ASI",250505,510545
"l10n_co_hr_payroll.hr_salary_rule_UNI_ASI",250505,510545
"l10n_co_hr_payroll.hr_salary_rule_VIA",250505,510521
"l10n_co_hr_payroll.hr_salary_rule_AFC",250505,510530
"l10n_co_hr_payroll.hr_salary_rule_AFC_INT",250505,510536
"l10n_co_hr_payroll.hr_salary_rule_PRM",250505,510533
"l10n_co_hr_payroll.hr_salary_rule_VAC_MON",250505,510539
"l10n_co_hr_payroll.hr_salary_rule_EPS",237005,250505
"l10n_co_hr_payroll.hr_salary_rule_AFP",237095,250505
"l10n_co_hr_payroll.hr_salary_rule_FSP",237005,250505
"l10n_co_hr_payroll.hr_salary_rule_RET_FTE",236505,250505
"l10n_co_hr_payroll.hr_salary_rule_VOL_DED",237095,250505
"l10n_co_hr_payroll.hr_salary_rule_AFP_VOL",237095,250505
"l10n_co_hr_payroll.hr_salary_rule_SRC_RET_VAL",237095,250505
"l10n_co_hr_payroll.hr_salary_rule_FUN_INS",237095,250505
"l10n_co_hr_payroll.hr_salary_rule_INS_LOA",237095,250505
"l10n_co_hr_payroll.hr_salary_rule_INS",237095,250505
"l10n_co_hr_payroll.hr_salary_rule_LAB_LOA",237095,250505
"l10n_co_hr_payroll.hr_salary_rule_LOA",237095,250505
"l10n_co_hr_payroll.hr_salary_rule_OTH_INS",237095,250505
"l10n_co_hr_payroll.hr_salary_rule_CAL_LOA",237095,250505
"l10n_co_hr_payroll.hr_salary_rule_CAR_LOA",237095,250505
"l10n_co_hr_payroll.hr_salary_rule_CTY_UNI",237095,250505
"l10n_co_hr_payroll.hr_salary_rule_COO",237095,250505
"l10n_co_hr_payroll.hr_salary_rule_EDU_LOA",237095,250505
"l10n_co_hr_payroll.hr_salary_rule_FON",237095,250505
"l10n_co_hr_payroll.hr_salary_rule_EXE_JUD",237095,250505
"l10n_co_hr_payroll.hr_salary_rule_FEE_JUD",237095,250505
"l10n_co_hr_payroll.hr_salary_rule_HOU_LOA",237095,250505
"l10n_co_hr_payroll.hr_salary_rule_IND_UNI",237095,250505
"l10n_co_hr_payroll.hr_salary_rule_MED_LOA",237095,250505
"l10n_co_hr_payroll.hr_salary_rule_OTH_ASO",237095,250505
