"id","date_to","name","resource_id","date_from","work_entry_type_id","calendar_id"
"co_2024_resource_calendar_leaves_new_year","2024-01-01 23:59:59","New Year",,"2024-01-01 00:00:00",,
"co_2024_resource_calendar_leaves_three_kings","2024-01-08 23:59:59","Three Kings Day",,"2024-01-08 00:00:00",,
"co_2024_resource_calendar_leaves_saint_joseph","2024-03-25 23:59:59","Saint Joseph",,"2024-03-25 00:00:00",,
"co_2024_resource_calendar_leaves_holy_thursday","2024-03-28 23:59:59","Holy Thursday",,"2024-03-28 00:00:00",,
"co_2024_resource_calendar_leaves_holy_Friday","2024-03-29 23:59:59","Holy Friday",,"2024-03-29 00:00:00",,
"co_2024_resource_calendar_leaves_labor","2024-05-01 23:59:59","Labor Day",,"2024-05-01 00:00:00",,
"co_2024_resource_calendar_leaves_ascencion","2024-05-13 23:59:59","Ascencion Day",,"2024-05-13 00:00:00",,
"co_2024_resource_calendar_leaves_corpus_christi","2024-06-03 23:59:59","Corpus Christi",,"2024-06-03 00:00:00",,
"co_2024_resource_calendar_leaves_sacred_heart","2024-06-10 23:59:59","Sacred Heart",,"2024-06-10 00:00:00",,
"co_2024_resource_calendar_leaves_saint_peter","2024-07-01 23:59:59","Saint Peter",,"2024-07-01 00:00:00",,
"co_2024_resource_calendar_leaves_independence","2024-07-20 23:59:59","Independence Day",,"2024-07-20 00:00:00",,
"co_2024_resource_calendar_leaves_boyaca_battle","2024-08-07 23:59:59","Boyaca’s Battle",,"2024-08-07 00:00:00",,
"co_2024_resource_calendar_leaves_assumption","2024-08-19 23:59:59","Marys Assumption",,"2024-08-19 00:00:00",,
"co_2024_resource_calendar_leaves_columbus","2024-10-14 23:59:59","Columbus Day",,"2024-10-14 00:00:00",,
"co_2024_resource_calendar_leaves_all_souls","2024-11-04 23:59:59","All Souls Day",,"2024-11-04 00:00:00",,
"co_2024_resource_calendar_leaves_cartagena_independence","2024-11-11 23:59:59","Cartagenas Independence",,"2024-11-11 00:00:00",,
"co_2024_resource_calendar_leaves_inmaculated_conception","2024-12-08 23:59:59","Inmaculated Conception",,"2024-12-08 00:00:00",,
"co_2024_resource_calendar_leaves_christmas","2024-12-25 23:59:59","Christmas Day",,"2024-12-25 00:00:00",,
"co_2025_resource_calendar_leaves_new_year","2025-01-01 23:59:59","New Year",,"2024-01-01 00:00:00",,
"co_2025_resource_calendar_leaves_three_kings","2025-01-06 23:59:59","Three Kings Day",,"2024-01-08 00:00:00",,
"co_2025_resource_calendar_leaves_saint_joseph","2025-03-24 23:59:59","Saint Joseph",,"2024-03-25 00:00:00",,
"co_2025_resource_calendar_leaves_holy_thursday","2025-04-17 23:59:59","Holy Thursday",,"2024-03-28 00:00:00",,
"co_2025_resource_calendar_leaves_holy_Friday","2025-04-18 23:59:59","Holy Friday",,"2024-03-29 00:00:00",,
"co_2025_resource_calendar_leaves_labor","2025-05-01 23:59:59","Labor Day",,"2024-05-01 00:00:00",,
"co_2025_resource_calendar_leaves_ascencion","2025-05-13 23:59:59","Ascencion Day",,"2024-05-13 00:00:00",,
"co_2025_resource_calendar_leaves_corpus_christi","2025-06-23 23:59:59","Corpus Christi",,"2024-06-03 00:00:00",,
"co_2025_resource_calendar_leaves_sacred_heart","2025-06-30 23:59:59","Sacred Heart",,"2024-06-10 00:00:00",,
"co_2025_resource_calendar_leaves_saint_peter","2025-06-30 23:59:59","Saint Peter",,"2024-07-01 00:00:00",,
"co_2025_resource_calendar_leaves_independence","2025-07-20 23:59:59","Independence Day",,"2024-07-20 00:00:00",,
"co_2025_resource_calendar_leaves_boyaca_battle","2025-08-07 23:59:59","Boyaca’s Battle",,"2024-08-07 00:00:00",,
"co_2025_resource_calendar_leaves_assumption","2025-08-18 23:59:59","Marys Assumption",,"2024-08-19 00:00:00",,
"co_2025_resource_calendar_leaves_columbus","2025-10-13 23:59:59","Columbus Day",,"2024-10-14 00:00:00",,
"co_2025_resource_calendar_leaves_all_souls","2025-11-03 23:59:59","All Souls Day",,"2024-11-04 00:00:00",,
"co_2025_resource_calendar_leaves_cartagena_independence","2025-11-17 23:59:59","Cartagenas Independence",,"2024-11-11 00:00:00",,
"co_2025_resource_calendar_leaves_inmaculated_conception","2025-12-08 23:59:59","Inmaculated Conception",,"2024-12-08 00:00:00",,
"co_2025_resource_calendar_leaves_christmas","2025-12-25 23:59:59","Christmas Day",,"2024-12-25 00:00:00",,
