"id","ei_code","ei_big_contribuitor","name","tax_ids/tax_src_id:name","tax_ids/tax_dest_id","account_ids/account_src_id","account_ids/account_dest_id"
"fis_pos_co_cmu",2,"False","Com�n","15% RteVAT 19%",,,
,,,,"15% RteVAT 5%",,,
"fis_pos_co_sim",0,"False","Simplificado","11% RteFte F L E","10% RteFte N",,
,,,,"11% RteFte C L E","10% RteFte C T T",,
,,,,"4% RteFte L L","3.5% RteFte H R",,
,,,,"4% RteFte S L","3.5% RteFte T",,
"fis_pos_co_gco",2,"True","Gran Contribuyente","15% RteVAT 19%",,,
,,,,"15% RteVAT 5%",,,
,,,,"0.1% RteFte F C",,,
,,,,"0.5% RteFte C",,,
,,,,"10% RteFte C N P",,,
,,,,"2.5% RteFte D",,,
,,,,"10% RteFte C T T",,,
,,,,"1% RteFte A Car",,,
,,,,"1% RteFte IMMO",,,
,,,,"4% RteFte S L",,,
,,,,"1% RteFte F T",,,
,,,,"6% RteFte S G",,,
,,,,"2% RteFte S C",,,
,,,,"3.5% RteFte Soft",,,
,,,,"2% RteFte W C IMMO",,,
,,,,"4% RteFte L L",,,
,,,,"3.5% RteFte IMMO L",,,
,,,,"7% RteFte G F",,,
,,,,"10% RteFte N",,,
,,,,"3.5% RteFte IT",,,
,,,,"2.5% RteFte C IMMO",,,
,,,,"3.5% RteFte NR",,,
,,,,"11% RteFte C L E",,,
,,,,"1.5% RteFte A",,,
,,,,"3.5% RteFte T",,,
,,,,"1% RteFte T E S",,,
,,,,"11% RteFte F L E",,,
,,,,"2% RteFte H",,,
,,,,"3.5% RteFte H R",,,
,,,,"0% RteICA",,,
,,,,"0.69% RteICA",,,
,,,,"1.104% RteICA",,,
,,,,"0.414% RteICA",,,
,,,,"1.38% RteICA",,,
,,,,"0.966% RteICA",,,
"fis_pos_co_int",3,"False","International","19% VAT",,,
,,,,"19%",,,
,,,,"5% VAT",,,
,,,,"16% D",,,
,,,,"0% IMP VAT",,,
,,,,"0% EXC VAT",,,
,,,,"0% EXEMPT",,,
,,,,"15% RteVAT 19%",,,
,,,,"15% RteVAT 5%",,,
,,,,"0.1% RteFte F C",,,
,,,,"0.5% RteFte C",,,
,,,,"10% RteFte C N P",,,
,,,,"2.5% RteFte D",,,
,,,,"10% RteFte C T T",,,
,,,,"1% RteFte A Car",,,
,,,,"1% RteFte IMMO",,,
,,,,"4% RteFte S L",,,
,,,,"1% RteFte F T",,,
,,,,"6% RteFte S G",,,
,,,,"2% RteFte S C",,,
,,,,"3.5% RteFte Soft",,,
,,,,"2% RteFte W C IMMO",,,
,,,,"4% RteFte L L",,,
,,,,"3.5% RteFte IMMO L",,,
,,,,"7% RteFte G F",,,
,,,,"10% RteFte N",,,
,,,,"3.5% RteFte IT",,,
,,,,"2.5% RteFte C IMMO",,,
,,,,"3.5% RteFte NR",,,
,,,,"11% RteFte C L E",,,
,,,,"1.5% RteFte A",,,
,,,,"3.5% RteFte T",,,
,,,,"1% RteFte T E S",,,
,,,,"11% RteFte F L E",,,
,,,,"2% RteFte H",,,
,,,,"3.5% RteFte H R",,,
,,,,"0% RteICA",,,
,,,,"0.69% RteICA",,,
,,,,"1.104% RteICA",,,
,,,,"0.414% RteICA",,,
,,,,"1.38% RteICA",,,
,,,,"0.966% RteICA",,,
,,,,"19% RC",,,
,,,,"19% RS",,,
,,,,"5% RS",,,
,,,,"5% RC",,,
,,,,"5%",,,
,,,,"16% D",,,
,,,,"0% EXEMPT",,,
,,,,"0% E",,,
,,,,"2.5% RteFte",,,
,,,,"3.50% RteFte",,,
,,,,"15% RteVAT 5% C",,,
,,,,"15% RteVAT 19% C",,,
,,,,"0.414% RteICA",,,
,,,,"0.966% RteICA",,,
,,,,"0% C A",,,
"fis_pos_co_gna",2,"False","Gran Contribuyente No Autoretenedor","15% RteVAT 19%",,,
,,,,"15% RteVAT 5%",,,
"fis_pos_co_sde",4,"False","Simplificado Declarante","15% RteVAT 19%",,,
,,,,"15% RteVAT 5%",,,
"fis_pos_co_cau",2,"True","Com�n Autoretenedor","15% RteVAT 19%",,,
,,,,"15% RteVAT 5%",,,
,,,,"0.1% RteFte F C",,,
,,,,"0.5% RteFte C",,,
,,,,"10% RteFte C N P",,,
,,,,"2.5% RteFte D",,,
,,,,"10% RteFte C T T",,,
,,,,"1% RteFte A Car",,,
,,,,"1% RteFte IMMO",,,
,,,,"4% RteFte S L",,,
,,,,"1% RteFte F T",,,
,,,,"6% RteFte S G",,,
,,,,"2% RteFte S C",,,
,,,,"3.5% RteFte Soft",,,
,,,,"2% RteFte W C IMMO",,,
,,,,"4% RteFte L L",,,
,,,,"3.5% RteFte IMMO L",,,
,,,,"7% RteFte G F",,,
,,,,"10% RteFte N",,,
,,,,"3.5% RteFte IT",,,
,,,,"2.5% RteFte C IMMO",,,
,,,,"3.5% RteFte NR",,,
,,,,"11% RteFte C L E",,,
,,,,"1.5% RteFte A",,,
,,,,"3.5% RteFte T",,,
,,,,"1% RteFte T E S",,,
,,,,"11% RteFte F L E",,,
,,,,"2% RteFte H",,,
,,,,"3.5% RteFte H R",,,
,,,,"0% RteICA",,,
,,,,"0.69% RteICA",,,
,,,,"1.104% RteICA",,,
,,,,"0.414% RteICA",,,
,,,,"1.38% RteICA",,,
,,,,"0.966% RteICA",,,
"fis_pos_co_cnd",4,"False","Com�n No Declarante","11% RteFte F L E","10% RteFte N",,
,,,,"11% RteFte C L E","10% RteFte C T T",,
,,,,"4% RteFte L L","3.5% RteFte H R",,
,,,,"4% RteFte S L","3.5% RteFte T",,
"fis_pos_co_adm",3,"False","Administraci�n (Interno)","19% VAT",,,
,,,,"19%",,,
,,,,"5% VAT",,,
,,,,"16% D",,,
,,,,"0% IMP VAT",,,
,,,,"0% EXC VAT",,,
,,,,"0% EXEMPT",,,
,,,,"15% RteVAT 19%",,,
,,,,"15% RteVAT 5%",,,
,,,,"0.1% RteFte F C",,,
,,,,"0.5% RteFte C",,,
,,,,"10% RteFte C N P",,,
,,,,"2.5% RteFte D",,,
,,,,"10% RteFte C T T",,,
,,,,"1% RteFte A Car",,,
,,,,"1% RteFte IMMO",,,
,,,,"4% RteFte S L",,,
,,,,"1% RteFte F T",,,
,,,,"6% RteFte S G",,,
,,,,"2% RteFte S C",,,
,,,,"3.5% RteFte Soft",,,
,,,,"2% RteFte W C IMMO",,,
,,,,"4% RteFte L L",,,
,,,,"3.5% RteFte IMMO L",,,
,,,,"7% RteFte G F",,,
,,,,"10% RteFte N",,,
,,,,"3.5% RteFte IT",,,
,,,,"2.5% RteFte C IMMO",,,
,,,,"3.5% RteFte NR",,,
,,,,"11% RteFte C L E",,,
,,,,"1.5% RteFte A",,,
,,,,"3.5% RteFte T",,,
,,,,"1% RteFte T E S",,,
,,,,"11% RteFte F L E",,,
,,,,"2% RteFte H",,,
,,,,"3.5% RteFte H R",,,
,,,,"0% RteICA",,,
,,,,"0.69% RteICA",,,
,,,,"1.104% RteICA",,,
,,,,"0.414% RteICA",,,
,,,,"1.38% RteICA",,,
,,,,"0.966% RteICA",,,
,,,,"19% RC",,,
,,,,"19% RS",,,
,,,,"5% RS",,,
,,,,"5% RC",,,
,,,,"5%",,,
,,,,"16% D",,,
