"id","sequence","name","amount","amount_type","type_tax_use","tax_group_id:id","active","children_tax_ids","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id:id","description","invoice_label"
"co_com_tax_iva_19gt",0,"19% Vat S",19,"percent","sale","co_com_tax_group_iva_01",,,"base","invoice",,"VAT Sales 19%","19%"
,,,,,,,,,"tax","invoice","co_com_puc_240805",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_240805",,
"co_com_tax_iva_19lt",0,"19% Vat P",19,"percent","purchase","co_com_tax_group_iva_01",,,"base","invoice",,"VAT Purchase 19%","19%"
,,,,,,,,,"tax","invoice","co_com_puc_240805",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_240805",,
"co_com_tax_iva_5gt",1,"5% Vat S",5,"percent","sale","co_com_tax_group_iva_01",,,"base","invoice",,"VAT Sales 5%","5%"
,,,,,,,,,"tax","invoice","co_com_puc_240805",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_240805",,
"co_com_tax_iva_5lt",1,"5% Vat P",5,"percent","purchase","co_com_tax_group_iva_01",,,"base","invoice",,"VAT Purchase 5%","5%"
,,,,,,,,,"tax","invoice","co_com_puc_240805",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_240805",,
"co_com_tax_iva_16gt",1,"16% IVA S",16,"percent","sale","co_com_tax_group_iva_01",,,"base","invoice",,"VAT Sales Refunds 16% 2016","16%"
,,,,,,,,,"tax","invoice",,,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund",,,
"co_com_tax_iva_16lt",1,"16% Vat P",16,"percent","purchase","co_com_tax_group_iva_01",,,"base","invoice",,"Deductible VAT Purchase 16% (2016 and January 2017)","16%"
,,,,,,,,,"tax","invoice","co_com_puc_240805",,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund","co_com_puc_240805",,
"co_com_tax_iva_0gt",1,"0% Vat S",0,"percent","sale","co_com_tax_group_iva_01",,,"base","invoice",,"VAT Purchase Imports","0%"
,,,,,,,,,"tax","invoice",,,
,,,,,,,,,"base","refund",,,
,,,,,,,,,"tax","refund",,,
