id,code,name,group_id:id,reconcile,account_type,chart_template_id:id,tag_ids:id
niif_fin_00,0,Co Niif Financiero Root,,0,off_balance,chart_template_niif_financiero,
niif_fin_1,1,Activo,,0,off_balance,chart_template_niif_financiero,
niif_fin_11,11,Efectivo Y Equivalentes Al Efectivo,,0,off_balance,chart_template_niif_financiero,
niif_fin_1105,1105,Caja,,0,off_balance,chart_template_niif_financiero,
niif_fin_110505,110505,Efectivo,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_110510,110510,Cheques,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_110515,110515,Depósitos Por Primas Recaudadas,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_110520,110520,Caja Menor,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_110595,110595,Otros Caja,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_1110,1110,Banco De La República,,0,off_balance,chart_template_niif_financiero,
niif_fin_111005,111005,Cuenta Corriente Bancaria,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_111010,111010,Certificados De Cambio Propios,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_111015,111015,Certificados De Cambio En Administración,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_111020,111020,Depósitos De Contracción Monetaria,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_111095,111095,Otros Banco De La República,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_1115,1115,Bancos Y Otras Entidades Financieras,,0,off_balance,chart_template_niif_financiero,
niif_fin_111505,111505,Bancos Nacionales,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_111510,111510,Bancos Del Exterior,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_111515,111515,Corresponsales,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_111520,111520,Sucursales En El Extranjero,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_111525,111525,Depósitos Por Primas Recaudadas,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_111595,111595,Otras Entidades Financieras,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_1120,1120,Canje,,0,off_balance,chart_template_niif_financiero,
niif_fin_112005,112005,Canje,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_112095,112095,Otros Canje,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
niif_fin_1125,1125,Administración De Liquidez ,,0,off_balance,chart_template_niif_financiero,
niif_fin_112505,112505,Administración De Liquidez ,group_fin_1_1_efe_equ,1,asset_cash,chart_template_niif_financiero,aat_1012_1110_K
