"id","code","name","name@esp","group_id:id","opening_balance","reconcile","account_type","tag_ids:id"
"co_com_puc_000000",0,"Co Commercial Puc Raiz","Co Comercial Puc Raiz",,,0,"off_balance",
"co_com_puc_100000",100000,"Asset","Activo",,,0,"off_balance",
"co_com_puc_110000",110000,"Available","Disponible",,,0,"off_balance",
"co_com_puc_110505",110505,"General Cash","Efectivo general","group_1_1_efe_equ",,1,"asset_cash",
"co_com_puc_110510",110510,"Minor Cash","Efectivo menor","group_1_1_efe_equ",4000000,1,"asset_cash",
"co_com_puc_110515",110515,"Foreign Currency","Moneda extranjera","group_1_1_efe_equ",,1,"asset_cash",
"co_com_puc_110595",110595,"Other Cash","Otro efectivo","group_1_1_efe_equ",,1,"asset_cash",
"co_com_puc_110599",110599,"Internal Transfer","Transferencia interna","group_1_1_efe_equ",,1,"asset_cash",
"co_com_puc_111000",111000,"Banks","Bancos",,,0,"off_balance",
"co_com_puc_111005",111005,"Local Currency","Moneda local","group_1_1_efe_equ",910901718.29,1,"asset_cash","l10n_co_account.aat_1012_1110_K"
"co_com_puc_111010",111010,"Foreign Currency","Moneda extranjera","group_1_1_efe_equ",161887000,1,"asset_cash","l10n_co_account.aat_1012_1110_K"
"co_com_puc_111095",111095,"Other Banks","Otros Bancos",,,1,"asset_cash","l10n_co_account.aat_1012_1110_K"
"co_com_puc_111500",111500,"Remittances in Transit","Remesas en Tránsito",,,0,"off_balance",
"co_com_puc_111505",111505,"Local Currency","Moneda local","group_1_1_efe_equ",,1,"asset_cash","l10n_co_account.aat_1012_1110_K"
"co_com_puc_111510",111510,"Foreign Currency","moneda extranjera","group_1_1_efe_equ",,1,"asset_cash","l10n_co_account.aat_1012_1110_K"
"co_com_puc_111595",111595,"Other Remittances","Otras remesas","group_1_1_efe_equ",,1,"asset_cash","l10n_co_account.aat_1012_1110_K"
"co_com_puc_111599",111599,"Deterioration of Remittances","Deterioro de las remesas","group_1_1_efe_equ",,1,"asset_cash","l10n_co_account.aat_1012_1110_K"
"co_com_puc_112000",112000,"Saving Account","Cuenta de ahorro",,,0,"off_balance",
"co_com_puc_112005",112005,"Banks","Bancos","group_1_1_efe_equ",,1,"asset_cash","l10n_co_account.aat_1012_1110_K"
"co_com_puc_112010",112010,"Savings and Housing Corporations","Corporaciones de Ahorro y Vivienda","group_1_1_efe_equ",5719061262.62,1,"asset_cash","l10n_co_account.aat_1012_1110_K"
"co_com_puc_112015",112015,"Financial Cooperative Organizations","Organizaciones cooperativas financieras","group_1_1_efe_equ",,1,"asset_cash","l10n_co_account.aat_1012_1110_K"
"co_com_puc_112095",112095,"Other Saving Accounts","Otras cuentas de ahorro","group_1_1_efe_equ",,1,"asset_cash","l10n_co_account.aat_1012_1110_K"
"co_com_puc_112500",112500,"Funds","Fondos",,,0,"off_balance",
"co_com_puc_112505",112505,"Revolving Local Currency","Moneda local rotatoria","group_1_1_efe_equ",,1,"asset_cash","l10n_co_account.aat_1012_1110_K"
"co_com_puc_112510",112510,"Revolving Foreign Currency","Moneda extranjera rotatoria","group_1_1_efe_equ",,1,"asset_cash","l10n_co_account.aat_1012_1110_K"
"co_com_puc_112515",112515,"Special Local Currency","Moneda local especial","group_1_1_efe_equ",,1,"asset_cash","l10n_co_account.aat_1012_1110_K"
"co_com_puc_112520",112520,"Special Foreign Currency","Moneda Extranjera Especial","group_1_1_efe_equ",,1,"asset_cash","l10n_co_account.aat_1012_1110_K"
"co_com_puc_112525",112525,"Amortization Cover Local Currency","Cobertura de Amortización Moneda Local","group_1_1_efe_equ",,1,"asset_cash","l10n_co_account.aat_1012_1110_K"
"co_com_puc_112530",112530,"Amortization Cover Local currency","Cobertura de Amortización Moneda local","group_1_1_efe_equ",,1,"asset_cash","l10n_co_account.aat_1012_1110_K"
"co_com_puc_112595",112595,"Other Funds","Otros fondos","group_1_1_efe_equ",,1,"asset_cash","l10n_co_account.aat_1012_1110_K"
"co_com_puc_112599",112599,"Deterioration Funds","Fondos de deterioro","group_1_1_efe_equ",,1,"asset_cash","l10n_co_account.aat_1012_1110_K"
"co_com_puc_120000",120000,"Investment","Inversión",,,0,"off_balance",
"co_com_puc_120500",120500,"Stocks","Acciones",,,0,"off_balance",
"co_com_puc_120505",120505,"Agriculture Hunting and Forestry","Agricultura, Ganadería, Caza Y Silvicultura","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_120510",120510,"Fishing","Pesca","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_120515",120515,"Mining and Quarrying","Minas y canteras","group_1_2_inv_cor",1782975718,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_120520",120520,"Manufacturing industry","Industria manufacturera","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_120525",120525,"Electricity, Gas And Water Supply","Suministro de electricidad","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_120530",120530,"Construction","Construcción","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_120535",120535,"Wholesale and Retail","Venta al por mayor y al por menor","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_120540",120540,"Hotels And Restaurants","Hoteles Y Restaurantes","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_120545",120545,"Transportation Storage and Communications","Transporte, Almacenamiento Y Comunicaciones","group_1_2_inv_cor",158238294.21,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_120550",120550,"Financial Activity","Actividad financiera","group_1_2_inv_cor",35530051900,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_120555",120555,"Real Estate, Business and Rental Activities","Actividades inmobiliarias","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_120560",120560,"Teaching","Enseáando","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_120565",120565,"Social and Health Services","Servicios Sociales y de Salud","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_120570",120570,"Other Community, Social and Personal Service Activities","Otras actividades de servicios comunitarios","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_120595",120595,"Other Stocks","Otras acciones","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_120599",120599,"Deterioration Stocks","Existencias en deterioro","group_1_2_inv_cor",-3553005190,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_121000",121000,"Quotas Or Shares Of Social Interest","Cuotas o acciones de interés social",,,0,"off_balance",
"co_com_puc_121005",121005,"Agriculture, Livestock, Hunting and Forestry","Agricultura Caza y Silvicultura","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_121010",121010,"Fishing","Pesca","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_121015",121015,"Mining and Quarrying","Minas y canteras","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_121020",121020,"Manufacturing industry","Industria manufacturera","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_121025",121025,"Electricity, Gas and Water Supply","Suministro de Electricidad","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_121030",121030,"Construction","Construcción","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_121035",121035,"Wholesale and Retail","Venta al por mayor y al por menor","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_121040",121040,"Hotels And Restaurants","Hoteles Y Restaurantes","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_121045",121045,"Transportation, Storage and Communications","Transporte","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_121050",121050,"Financial Activity","Actividad financiera","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_121055",121055,"Real Estate, Business and Rental Activities","Actividades inmobiliarias","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_121060",121060,"Teaching","Enseáando","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_121065",121065,"Social and Health Services","Servicios Sociales y de Salud","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_121070",121070,"Other Community, Social and Personal Service Activities","Otras actividades de servicios comunitarios","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_121095",121095,"Other Quotas Or Share","Otras cuotas o acciones","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_121099",121099,"Deterioration of Quotas Or Parts","Deterioro de Cuotas o Partes","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_121500",121500,"Bonds","Cautiverio",,,0,"off_balance",
"co_com_puc_121505",121505,"Public Bonds local Currency","Bonos Públicos Moneda local","group_1_2_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_121510",121510,"Public Bonds Foreign Currency","Bonos Públicos Moneda Extranjera","group_1_2_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_121515",121515,"Ordinary Bonds","Bonos Ordinarios","group_1_2_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_121520",121520,"Bonds Convertible Into Shares","Bonos convertibles en acciones","group_1_2_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_121595",121595,"Other Bonds","Otros bonos","group_1_2_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_121599",121599,"Deterioration Bonds","Bonos de deterioro","group_1_2_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_122000",122000,"Bonds","Cádulas",,,0,"off_balance",
"co_com_puc_122005",122005,"Capitalization Bonds","Cádulas de Capitalización","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_122010",122010,"Mortgage Bonds","Cádulas Hipotecarias","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_122015",122015,"Investment Bonds","Cádulas de Inversión","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_122095",122095,"Other Bonds","Otras cádulas","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_122099",122099,"Deterioration Bonds","Cádulas de Deterioro","group_1_2_inv_cor",,0,"asset_current","l10n_co_account.aat_1012_1205_K"
"co_com_puc_122500",122500,"Certificates","Certificados",,,0,"off_balance",
