"id","code","name","reconcile","account_type","tag_ids/name","name@es"
"co_puc_000000",0,"Co NIIF Finance Root",0,"off_balance",,"Co Niif Financiero Raiz"
"co_puc_100000",100000,"Asset",0,"off_balance",,"Activo"
"co_puc_110000",110000,"Cash and cash equivalents",0,"off_balance",,"Efectivo Y Equivalentes Al Efectivo"
"co_puc_110500",110500,"Box",0,"off_balance",,"Caja"
"co_puc_110505",110505,"Cash",1,"asset_cash","1012_1110_K","Efectivo"
"co_puc_110510",110510,"Checks",1,"asset_cash","1012_1110_K","Cheques"
"co_puc_110515",110515,"Deposits for Premiums Collected",1,"asset_cash","1012_1110_K","Depósitos Por Primas Recaudadas"
"co_puc_110520",110520,"Small Cash",1,"asset_cash","1012_1110_K","Caja Menor"
"co_puc_110595",110595,"Others Box",1,"asset_cash","1012_1110_K","Otros Caja"
"co_puc_111000",111000,"Bank of the Republic",0,"off_balance",,"Banco De La República"
"co_puc_111005",111005,"Bank Checking Account",1,"asset_cash","1012_1110_K","Cuenta Corriente Bancaria"
"co_puc_111010",111010,"Own Exchange Certificates",1,"asset_cash","1012_1110_K","Certificados De Cambio Propios"
"co_puc_111015",111015,"Certificates of Change in Administration",1,"asset_cash","1012_1110_K","Certificados De Cambio En Administración"
"co_puc_111020",111020,"Currency Contraction Deposits",1,"asset_cash","1012_1110_K","Depósitos De Contracción Monetaria"
"co_puc_111095",111095,"Other Bank of the Republic",1,"asset_cash","1012_1110_K","Otros Banco De La República"
"co_puc_111500",111500,"Banks and Other Financial Entities",0,"off_balance",,"Bancos Y Otras Entidades Financieras"
"co_puc_111505",111505,"National Banks",1,"asset_cash","1012_1110_K","Bancos Nacionales"
"co_puc_111510",111510,"Foreign Banks",1,"asset_cash","1012_1110_K","Bancos Del Exterior"
"co_puc_111515",111515,"Correspondents",1,"asset_cash","1012_1110_K","Corresponsales"
"co_puc_111520",111520,"Branches Abroad",1,"asset_cash","1012_1110_K","Sucursales En El Extranjero"
"co_puc_111525",111525,"Deposits for Premiums Collected",1,"asset_cash","1012_1110_K","Depósitos Por Primas Recaudadas"
"co_puc_111595",111595,"Other Financial Entities",1,"asset_cash","1012_1110_K","Otras Entidades Financieras"
"co_puc_112000",112000,"Exchange",0,"off_balance",,"Canje"
"co_puc_112005",112005,"Exchange",1,"asset_cash","1012_1110_K","Canje"
"co_puc_112095",112095,"Others Exchange",1,"asset_cash","1012_1110_K","Otros Canje"
"co_puc_112500",112500,"Liquidity Management",0,"off_balance",,"Administración De Liquidez "
"co_puc_112505",112505,"Liquidity Management",1,"asset_cash","1012_1110_K","Administración De Liquidez "
"co_puc_112595",112595,"Exchange",1,"asset_cash","1012_1110_K","Canje"
"co_puc_113000",113000,"Remittances in Transit",0,"off_balance",,"Remesas En Tránsito"
