"id","code","name","reconcile","account_type","tag_ids/name","name@es",,
"co_puc_000000",0,"Co Irfs Solidarity Root",0,"off_balance",,"Co Niff Solidario Root",,
"co_puc_100000",100000,"Asset",0,"off_balance",,"Activo",,
"co_puc_110000",110000,"Cash and Cash Equivalents",0,"off_balance",,"Efectivo Y Equivalente Al Efectivo",,
"co_puc_110500",110500,"Box",0,"off_balance",,"Caja",,
"co_puc_110505",110505,"General Cash",1,"asset_cash",,"Caja General",,
"co_puc_110510",110510,"Small Cash",1,"asset_cash",,"Caja Menor",,
"co_puc_111000",111000,"Banks And Other Entities With Financial Activity",0,"off_balance",,"Bancos Y Otras Entidades Con Actividad Financiera",,
"co_puc_111005",111005,"Commercial banks",1,"asset_cash","1012:1110:K","Bancos Comerciales",,
"co_puc_111010",111010,"Cooperative Banks",1,"asset_cash","1012:1110:K","Bancos Cooperativos",,
"co_puc_111015",111015,"Solidarity Sector Entities",1,"asset_cash","1012:1110:K","Entidades Sector Solidario",,
"co_puc_111020",111020,"Foreign Entities",1,"asset_cash","1012:1110:K","Entidades Del Exterior",,
"co_puc_111025",111025,"Other Entities",1,"asset_cash","1012:1110:K","Otras Entidades",,
"co_puc_111500",111500,"Cash Equivalents (Payment Commitment)",0,"off_balance",,"Equivalentes Al Efectivo (Compromiso De Pago)",,
"co_puc_111505",111505,"Short-Term Deposits, Classified as Cash Equivalents",1,"asset_cash","1012:1110:K","Depositos A Corto Plazo, Clasificados Como Equivalentes Al Efectivo",,
"co_puc_111510",111510,"Short-Term Investments, Classified as Cash Equivalents",1,"asset_cash","1012:1110:K","Inversiones A Corto Plazo, Clasificados Como Equivalentes Al Efectivo",,
"co_puc_111515",111515,"Trust Funds at Sight",1,"asset_cash","1012:1110:K","Fondos Fiduciarios A La Vista",,
"co_puc_112000",112000,"Cash for Restricted Use and/or for Specific Purpose",0,"off_balance",,"Efectivo De Uso Restringido Y/O Con Destinacion Especifica",,
"co_puc_112003",112003,"Liquidity Fund - Funds Managed by Trust Companies",1,"asset_cash","1012:1110:K","Fondo De Liquidez - Fondos Administrados Por Sociedades Fiduciarias",,
"co_puc_112005",112005,"Liquidity Fund - Savings Accounts",1,"asset_cash","1012:1110:K","Fondo De Liquidez - Cuentas De Ahorro",,
"co_puc_112006",112006,"Liquidity Fund - Securities Funds Managed by Stock Broker Companies",1,"asset_cash","1012:1110:K","Fondo De Liquidez - Fondos De Valores Administrados Por Sociedades Comisionistas De Bolsa",,
"co_puc_112007",112007,"Liquidity Fund - Term Deposit Certificate",1,"asset_cash","1012:1110:K","Fondo De Liquidez - Certificado De Deposito A Termino",,
"co_puc_112008",112008,"Liquidity Fund - Term Savings Certificates",1,"asset_cash","1012:1110:K","Fondo De Liquidez - Certificados De Ahorro A Termino",,
"co_puc_112010",112010,"Trust Funds",1,"asset_cash","1012:1110:K","Fondos Fiduciarios",,
"co_puc_112015",112015,"Special Funds - Social and Mutual Funds",1,"asset_cash","1012:1110:K","Fondos Especiales - Fondos Sociales Y Mutuales",,
"co_puc_112020",112020,"Replacement Fund Trust",1,"asset_cash","1012:1110:K","Fideicomiso Fondo De Reposicion",,
"co_puc_112025",112025,"Administration Trust",1,"asset_cash","1012:1110:K","Fideicomiso De Administracion",,
"co_puc_112030",112030,"Other Special Funds",1,"asset_cash","1012:1110:K","Otros Fondos Especiales",,
"co_puc_112035",112035,"Exchange Funds",1,"asset_cash","1012:1110:K","Fondos De Cambio",,
"co_puc_112040",112040,"Deposits Delivered as Guarantee",1,"asset_cash","1012:1110:K","Depositos Entregados En Garantia",,
"co_puc_112045",112045,"Remittances in Transit",1,"asset_cash","1012:1110:K","Remesas En Transito",,
"co_puc_112100",112100,"Liquidity Fund - Checking Accounts",0,"off_balance",,"Fondo De Liquidez - Cuentas Corrientes",,
"co_puc_112300",112300,"Liquidity Fund - Collective Investment Funds Managed by Trust Companies",0,"off_balance",,"Fondo De Liquidez - Fondos De Inversion Colectiva Administrados Por Sociedades Fiduciarias",,
"co_puc_112500",112500,"Liquidity Fund - Savings Accounts",0,"off_balance",,"Fondo De Liquidez - Cuentas De Ahorro",,
