"id","name","ei_code","ei_big_contribuitor","name@esp","tax_ids/tax_src_id","tax_ids/tax_dest_id","account_ids/account_src_id","account_ids/account_dest_id"
"fis_pos_co_cmu","Common","02","False","Común","co_tax_rteiva_0_75gt",,,
,,,,,"co_tax_rteiva_0_75lt",,,
,,,,,"co_tax_rteiva_2_4gt",,,
,,,,,"co_tax_rteiva_2_4lt",,,
,,,,,"co_tax_rteiva_2_85gt",,,
,,,,,"co_tax_rteiva_2_85lt",,,
"fis_pos_co_sim","Simplified","00","False","Simplificado","co_tax_rteiva_0_75gt",,,
,,,,,"co_tax_rteiva_2_4gt",,,
,,,,,"co_tax_rteiva_2_85gt",,,
,,,,,"co_tax_rtefte_0_1gt",,,
,,,,,"co_tax_rtefte_0_5gt",,,
,,,,,"co_tax_rtefte_1gt",,,
,,,,,"co_tax_rtefte_1_5gt",,,
,,,,,"co_tax_rtefte_2gt",,,
,,,,,"co_tax_rtefte_2_5gt",,,
,,,,,"co_tax_rtefte_3_5gt",,,
,,,,,"co_tax_rtefte_4gt",,,
,,,,,"co_tax_rtefte_6gt",,,
,,,,,"co_tax_rtefte_7gt",,,
,,,,,"co_tax_rtefte_10gt",,,
,,,,,"co_tax_rtefte_11gt",,,
,,,,,"co_tax_rteica_0gt",,,
,,,,,"co_tax_rteica_0_414gt",,,
,,,,,"co_tax_rteica_0_69gt",,,
,,,,,"co_tax_rteica_0_966gt",,,
,,,,,"co_tax_rteica_1_104gt",,,
,,,,,"co_tax_rteica_1_38gt",,,
,,,,,"co_tax_rtefte_10lt","co_tax_rtefte_11lt",,
"fis_pos_co_gco","Great Contribuitor","02","True","Gran Contribuyente","co_tax_rteiva_0_75lt",,,
,,,,,"co_tax_rteiva_2_4lt",,,
,,,,,"co_tax_rteiva_2_85lt",,,
,,,,,"co_tax_rtefte_0_1lt",,,
,,,,,"co_tax_rtefte_0_5lt",,,
,,,,,"co_tax_rtefte_1lt",,,
,,,,,"co_tax_rtefte_1_5lt",,,
,,,,,"co_tax_rtefte_2lt",,,
,,,,,"co_tax_rtefte_2_5lt",,,
,,,,,"co_tax_rtefte_3_5lt",,,
,,,,,"co_tax_rtefte_4lt",,,
,,,,,"co_tax_rtefte_6lt",,,
,,,,,"co_tax_rtefte_7lt",,,
,,,,,"co_tax_rtefte_10lt",,,
,,,,,"co_tax_rtefte_11lt",,,
,,,,,"co_tax_rteica_0lt",,,
,,,,,"co_tax_rteica_0_414lt",,,
,,,,,"co_tax_rteica_0_69lt",,,
,,,,,"co_tax_rteica_0_966lt",,,
,,,,,"co_tax_rteica_1_104lt",,,
,,,,,"co_tax_rteica_1_38lt",,,
"fis_pos_co_int","International","03","False","International","co_tax_iva_19gt",,,
,,,,,"co_tax_iva_19lt",,,
,,,,,"co_tax_iva_5gt",,,
,,,,,"co_tax_iva_5lt",,,
,,,,,"co_tax_iva_16gt",,,
,,,,,"co_tax_iva_16lt",,,
,,,,,"co_tax_exc_0gt",,,
,,,,,"co_tax_exc_0lt",,,
,,,,,"co_tax_exm_0gt",,,
,,,,,"co_tax_exm_0lt",,,
,,,,,"co_tax_rteiva_0_75gt",,,
,,,,,"co_tax_rteiva_0_75lt",,,
,,,,,"co_tax_rteiva_2_4gt",,,
,,,,,"co_tax_rteiva_2_4lt",,,
,,,,,"co_tax_rteiva_2_85gt",,,
,,,,,"co_tax_rteiva_2_85lt",,,
,,,,,"co_tax_rtefte_0_1gt",,,
,,,,,"co_tax_rtefte_0_1lt",,,
,,,,,"co_tax_rtefte_0_5gt",,,
,,,,,"co_tax_rtefte_0_5lt",,,
,,,,,"co_tax_rtefte_1gt",,,
,,,,,"co_tax_rtefte_1lt",,,
,,,,,"co_tax_rtefte_1_5gt",,,
,,,,,"co_tax_rtefte_1_5lt",,,
,,,,,"co_tax_rtefte_2gt",,,
,,,,,"co_tax_rtefte_2lt",,,
,,,,,"co_tax_rtefte_2_5gt",,,
,,,,,"co_tax_rtefte_2_5lt",,,
,,,,,"co_tax_rtefte_3_5gt",,,
,,,,,"co_tax_rtefte_3_5lt",,,
,,,,,"co_tax_rtefte_4gt",,,
,,,,,"co_tax_rtefte_4lt",,,
,,,,,"co_tax_rtefte_6gt",,,
,,,,,"co_tax_rtefte_6lt",,,
,,,,,"co_tax_rtefte_7gt",,,
,,,,,"co_tax_rtefte_7lt",,,
,,,,,"co_tax_rtefte_10gt",,,
,,,,,"co_tax_rtefte_10lt",,,
,,,,,"co_tax_rtefte_11gt",,,
,,,,,"co_tax_rtefte_11lt",,,
,,,,,"co_tax_rteica_0gt",,,
,,,,,"co_tax_rteica_0lt",,,
,,,,,"co_tax_rteica_0_414gt",,,
,,,,,"co_tax_rteica_0_414lt",,,
,,,,,"co_tax_rteica_0_69gt",,,
,,,,,"co_tax_rteica_0_69lt",,,
,,,,,"co_tax_rteica_0_966gt",,,
,,,,,"co_tax_rteica_0_966lt",,,
,,,,,"co_tax_rteica_1_104gt",,,
,,,,,"co_tax_rteica_1_104lt",,,
,,,,,"co_tax_rteica_1_38gt",,,
,,,,,"co_tax_rteica_1_38lt",,,
"fis_pos_co_gna","Non-Self-Withholding Large Taxpayer","02","False","Gran Contribuyente No Autoretenedor","co_tax_rteiva_0_75gt",,,
,,,,,"co_tax_rteiva_0_75lt",,,
,,,,,"co_tax_rteiva_2_4gt",,,
,,,,,"co_tax_rteiva_2_4lt",,,
,,,,,"co_tax_rteiva_2_85gt",,,
,,,,,"co_tax_rteiva_2_85lt",,,
"fis_pos_co_sde","Simplified Declarer","04","False","Simplificado Declarante","co_tax_rteiva_0_75gt",,,
,,,,,"co_tax_rteiva_0_75lt",,,
,,,,,"co_tax_rteiva_2_4gt",,,
,,,,,"co_tax_rteiva_2_4lt",,,
,,,,,"co_tax_rteiva_2_85gt",,,
,,,,,"co_tax_rteiva_2_85lt",,,
"fis_pos_co_cau","Common Self-Retaining","02","True","Común Autoretenedor","co_tax_rteiva_0_75lt",,,
,,,,,"co_tax_rteiva_2_4lt",,,
,,,,,"co_tax_rteiva_2_85lt",,,
,,,,,"co_tax_rtefte_0_1lt",,,
,,,,,"co_tax_rtefte_0_5lt",,,
,,,,,"co_tax_rtefte_1lt",,,
,,,,,"co_tax_rtefte_1_5lt",,,
,,,,,"co_tax_rtefte_2lt",,,
,,,,,"co_tax_rtefte_2_5lt",,,
,,,,,"co_tax_rtefte_3_5lt",,,
,,,,,"co_tax_rtefte_4lt",,,
,,,,,"co_tax_rtefte_6lt",,,
,,,,,"co_tax_rtefte_7lt",,,
,,,,,"co_tax_rtefte_10lt",,,
,,,,,"co_tax_rtefte_11lt",,,
,,,,,"co_tax_rteica_0lt",,,
,,,,,"co_tax_rteica_0_414lt",,,
,,,,,"co_tax_rteica_0_69lt",,,
,,,,,"co_tax_rteica_0_966lt",,,
,,,,,"co_tax_rteica_1_104lt",,,
,,,,,"co_tax_rteica_1_38lt",,,
,,,,,,,,
"fis_pos_co_cnd","Common Non-Declarer","04","False","Común No Declarante","co_tax_rtefte_10gt","co_tax_rtefte_11gt",,
,,,,,"co_tax_rtefte_3_5gt","co_tax_rtefte_4gt",,
"fis_pos_co_adm","Administration (Internal)","03","False","Administración (Interno)","co_tax_iva_19gt",,,
,,,,,"co_tax_iva_19lt",,,
,,,,,"co_tax_iva_5gt",,,
,,,,,"co_tax_iva_5lt",,,
,,,,,"co_tax_iva_16gt",,,
,,,,,"co_tax_iva_16lt",,,
,,,,,"co_tax_exc_0gt",,,
,,,,,"co_tax_exc_0lt",,,
,,,,,"co_tax_exm_0gt",,,
,,,,,"co_tax_exm_0lt",,,
,,,,,"co_tax_rteiva_0_75gt",,,
,,,,,"co_tax_rteiva_0_75lt",,,
,,,,,"co_tax_rteiva_2_4gt",,,
,,,,,"co_tax_rteiva_2_4lt",,,
,,,,,"co_tax_rteiva_2_85gt",,,
,,,,,"co_tax_rteiva_2_85lt",,,
,,,,,"co_tax_rtefte_0_1gt",,,
,,,,,"co_tax_rtefte_0_1lt",,,
,,,,,"co_tax_rtefte_0_5gt",,,
,,,,,"co_tax_rtefte_0_5lt",,,
,,,,,"co_tax_rtefte_1gt",,,
,,,,,"co_tax_rtefte_1lt",,,
,,,,,"co_tax_rtefte_1_5gt",,,
,,,,,"co_tax_rtefte_1_5lt",,,
,,,,,"co_tax_rtefte_2gt",,,
,,,,,"co_tax_rtefte_2lt",,,
,,,,,"co_tax_rtefte_2_5gt",,,
,,,,,"co_tax_rtefte_2_5lt",,,
,,,,,"co_tax_rtefte_3_5gt",,,
,,,,,"co_tax_rtefte_3_5lt",,,
,,,,,"co_tax_rtefte_4gt",,,
,,,,,"co_tax_rtefte_4lt",,,
,,,,,"co_tax_rtefte_6gt",,,
,,,,,"co_tax_rtefte_6lt",,,
,,,,,"co_tax_rtefte_7gt",,,
,,,,,"co_tax_rtefte_7lt",,,
,,,,,"co_tax_rtefte_10gt",,,
,,,,,"co_tax_rtefte_10lt",,,
,,,,,"co_tax_rtefte_11gt",,,
,,,,,"co_tax_rtefte_11lt",,,
,,,,,"co_tax_rteica_0gt",,,
,,,,,"co_tax_rteica_0lt",,,
,,,,,"co_tax_rteica_0_414gt",,,
,,,,,"co_tax_rteica_0_414lt",,,
,,,,,"co_tax_rteica_0_69gt",,,
,,,,,"co_tax_rteica_0_69lt",,,
,,,,,"co_tax_rteica_0_966gt",,,
,,,,,"co_tax_rteica_0_966lt",,,
,,,,,"co_tax_rteica_1_104gt",,,
,,,,,"co_tax_rteica_1_104lt",,,
,,,,,"co_tax_rteica_1_38gt",,,
,,,,,"co_tax_rteica_1_38lt",,,
"fis_pos_co_vta","Sales (Internal)","03","False","Ventas (Interno)","co_tax_iva_19gt",,"co_puc_510503","co_puc_520503"
,,,,,"co_tax_iva_19lt",,"co_puc_510506","co_puc_520506"
,,,,,"co_tax_iva_5gt",,"co_puc_510512","co_puc_520512"
,,,,,"co_tax_iva_5lt",,"co_puc_510515","co_puc_520515"
,,,,,"co_tax_iva_16gt",,"co_puc_510518","co_puc_520518"
,,,,,"co_tax_iva_16lt",,"co_puc_510521","co_puc_520521"
,,,,,"co_tax_exc_0gt",,"co_puc_510524","co_puc_520524"
,,,,,"co_tax_exc_0lt",,"co_puc_510527","co_puc_520527"
,,,,,"co_tax_exm_0gt",,"co_puc_510530","co_puc_520530"
,,,,,"co_tax_exm_0lt",,"co_puc_510533","co_puc_520533"
,,,,,"co_tax_rteiva_0_75gt",,"co_puc_510536","co_puc_520536"
,,,,,"co_tax_rteiva_0_75lt",,"co_puc_510539","co_puc_520539"
,,,,,"co_tax_rteiva_2_4gt",,"co_puc_510542","co_puc_520542"
,,,,,"co_tax_rteiva_2_4lt",,"co_puc_510545","co_puc_520545"
,,,,,"co_tax_rteiva_2_85gt",,"co_puc_510548","co_puc_520548"
,,,,,"co_tax_rteiva_2_85lt",,"co_puc_510551","co_puc_520551"
,,,,,"co_tax_rtefte_0_1gt",,"co_puc_510554","co_puc_520554"
,,,,,"co_tax_rtefte_0_1lt",,"co_puc_510557","co_puc_520557"
,,,,,"co_tax_rtefte_0_5gt",,"co_puc_510559","co_puc_520559"
,,,,,"co_tax_rtefte_0_5lt",,"co_puc_510560","co_puc_520560"
,,,,,"co_tax_rtefte_1gt",,"co_puc_510563","co_puc_520563"
,,,,,"co_tax_rtefte_1lt",,"co_puc_510566","co_puc_520566"
,,,,,"co_tax_rtefte_1_5gt",,"co_puc_510568","co_puc_520568"
,,,,,"co_tax_rtefte_1_5lt",,"co_puc_510569","co_puc_520569"
,,,,,"co_tax_rtefte_2gt",,"co_puc_510570","co_puc_520570"
,,,,,"co_tax_rtefte_2lt",,"co_puc_510572","co_puc_520572"
,,,,,"co_tax_rtefte_2_5gt",,"co_puc_510575","co_puc_520575"
,,,,,"co_tax_rtefte_2_5lt",,"co_puc_510578","co_puc_520578"
,,,,,"co_tax_rtefte_3_5gt",,"co_puc_510581","co_puc_520581"
,,,,,"co_tax_rtefte_3_5lt",,"co_puc_510584","co_puc_520584"
,,,,,"co_tax_rtefte_4gt",,"co_puc_510595","co_puc_520595"
,,,,,"co_tax_rtefte_4lt",,"co_puc_510599","co_puc_520599"
,,,,,"co_tax_rtefte_6gt",,,
,,,,,"co_tax_rtefte_6lt",,,
,,,,,"co_tax_rtefte_7gt",,,
,,,,,"co_tax_rtefte_7lt",,,
,,,,,"co_tax_rtefte_10gt",,,
,,,,,"co_tax_rtefte_10lt",,,
,,,,,"co_tax_rtefte_11gt",,,
,,,,,"co_tax_rtefte_11lt",,,
,,,,,"co_tax_rteica_0gt",,,
,,,,,"co_tax_rteica_0lt",,,
,,,,,"co_tax_rteica_0_414gt",,,
,,,,,"co_tax_rteica_0_414lt",,,
,,,,,"co_tax_rteica_0_69gt",,,
,,,,,"co_tax_rteica_0_69lt",,,
,,,,,"co_tax_rteica_0_966gt",,,
,,,,,"co_tax_rteica_0_966lt",,,
,,,,,"co_tax_rteica_1_104gt",,,
,,,,,"co_tax_rteica_1_104lt",,,
,,,,,"co_tax_rteica_1_38gt",,,
,,,,,"co_tax_rteica_1_38lt",,,
"fis_pos_co_prd","Production (Internal)","03","False","Producción (Interno)","co_tax_iva_19gt",,"co_puc_510503","co_puc_720503"
,,,,,"co_tax_iva_19lt",,"co_puc_510506","co_puc_720506"
,,,,,"co_tax_iva_5gt",,"co_puc_510512","co_puc_720512"
,,,,,"co_tax_iva_5lt",,"co_puc_510515","co_puc_720515"
,,,,,"co_tax_iva_16gt",,"co_puc_510518","co_puc_720518"
,,,,,"co_tax_iva_16lt",,"co_puc_510521","co_puc_720521"
,,,,,"co_tax_exc_0gt",,"co_puc_510524","co_puc_720524"
,,,,,"co_tax_exc_0lt",,"co_puc_510527","co_puc_720527"
,,,,,"co_tax_exm_0gt",,"co_puc_510530","co_puc_720530"
,,,,,"co_tax_exm_0lt",,"co_puc_510533","co_puc_720533"
,,,,,"co_tax_rteiva_0_75gt",,"co_puc_510536","co_puc_720536"
,,,,,"co_tax_rteiva_0_75lt",,"co_puc_510539","co_puc_720539"
,,,,,"co_tax_rteiva_2_4gt",,"co_puc_510542","co_puc_720542"
,,,,,"co_tax_rteiva_2_4lt",,"co_puc_510545","co_puc_720545"
,,,,,"co_tax_rteiva_2_85gt",,"co_puc_510548","co_puc_720548"
,,,,,"co_tax_rteiva_2_85lt",,"co_puc_510551","co_puc_720551"
,,,,,"co_tax_rtefte_0_1gt",,"co_puc_510554","co_puc_720554"
,,,,,"co_tax_rtefte_0_1lt",,"co_puc_510557","co_puc_720557"
,,,,,"co_tax_rtefte_0_5gt",,"co_puc_510559","co_puc_720559"
,,,,,"co_tax_rtefte_0_5lt",,"co_puc_510560","co_puc_720560"
,,,,,"co_tax_rtefte_1gt",,"co_puc_510563","co_puc_720563"
,,,,,"co_tax_rtefte_1lt",,"co_puc_510566","co_puc_720566"
,,,,,"co_tax_rtefte_1_5gt",,"co_puc_510568","co_puc_720568"
,,,,,"co_tax_rtefte_1_5lt",,"co_puc_510569","co_puc_720569"
,,,,,"co_tax_rtefte_2gt",,"co_puc_510570","co_puc_720570"
,,,,,"co_tax_rtefte_2lt",,"co_puc_510572","co_puc_720572"
,,,,,"co_tax_rtefte_2_5gt",,"co_puc_510575","co_puc_720575"
,,,,,"co_tax_rtefte_2_5lt",,"co_puc_510578","co_puc_720578"
,,,,,"co_tax_rtefte_3_5gt",,"co_puc_510581","co_puc_720581"
,,,,,"co_tax_rtefte_3_5lt",,"co_puc_510584","co_puc_720584"
,,,,,"co_tax_rtefte_4gt",,"co_puc_510595","co_puc_720595"
,,,,,"co_tax_rtefte_4lt",,"co_puc_510599","co_puc_720599"
,,,,,"co_tax_rtefte_6gt",,,
,,,,,"co_tax_rtefte_6lt",,,
,,,,,"co_tax_rtefte_7gt",,,
,,,,,"co_tax_rtefte_7lt",,,
,,,,,"co_tax_rtefte_10gt",,,
,,,,,"co_tax_rtefte_10lt",,,
,,,,,"co_tax_rtefte_11gt",,,
,,,,,"co_tax_rtefte_11lt",,,
,,,,,"co_tax_rteica_0gt",,,
,,,,,"co_tax_rteica_0lt",,,
,,,,,"co_tax_rteica_0_414gt",,,
,,,,,"co_tax_rteica_0_414lt",,,
,,,,,"co_tax_rteica_0_69gt",,,
,,,,,"co_tax_rteica_0_69lt",,,
,,,,,"co_tax_rteica_0_966gt",,,
,,,,,"co_tax_rteica_0_966lt",,,
,,,,,"co_tax_rteica_1_104gt",,,
,,,,,"co_tax_rteica_1_104lt",,,
,,,,,"co_tax_rteica_1_38gt",,,
,,,,,"co_tax_rteica_1_38lt",,,
