"id","code_edi","name","name@esp","description","country_id"
"co_com_tax_group_iva_01",1,"VAT","IVA","Impuesto de Valor Agregado","base.co"
"co_com_tax_group_ic_02",2,"CT","IC","Impuesto al Consumo","base.co"
"co_com_tax_group_ica_03",3,"ICA","ICA","Impuesto de Industria Comercio y Aviso","base.co"
"co_com_tax_group_inc_04",4,"NCT","INC","Impuesto Nacional al Consumo","base.co"
"co_com_tax_group_rteiva_05",5,"VatWth","ReteIVA","Retención sobre el IVA","base.co"
"co_com_tax_group_rterta_06",6,"IncWth","ReteRenta","Retención sobre Renta","base.co"
"co_com_tax_group_rteica_07",7,"IcaWth","ReteICA","Retención sobre el ICA","base.co"
"co_com_tax_group_rtefte_08",8,"SrcWth","ReteFuente","Retención en la fuente","base.co"
"co_com_tax_group_hrtcltra_20",20,"HrtCtr","FtoHorticultura","Cuota de Fomento Hortifrutícula","base.co"
"co_com_tax_group_tmbre_21",21,"Stamp","Timbre","Impuesto de Timbre","base.co"
"co_com_tax_group_blsa_22",22,"Bag","Bolsas","Impuesto al Consumo de Bolsa Plástica","base.co"
"co_com_tax_group_crbno_23",23,"Co2","INCarbono","Impuesto Nacional al Carbono","base.co"
"co_com_tax_group_cmbstble_24",24,"Fuel","INCombustibles","Impuesto Nacional a los Combustibles","base.co"
"co_com_tax_group_sbretsa_25",25,"FuelOvr","Sobretasa Combustibles","Sobretasa a los combustibles","base.co"
"co_com_tax_group_mincmbstble_26",26,"RetCtb","Sordicom","Contribución minoristas (Combustibles)","base.co"
"co_com_tax_group_norspnsble_zy","ZY","Not causa","No causa","No responsable de tributo","base.co"
"co_com_tax_group_otro_zz","ZZ","Tax figure name","Nombre de la figura tributaria","Otros tributos, tasas, contribuciones, y similares","base.co"
"co_com_tax_group_icprcntual_08",8,"IC%","IC%","IC Porcentual","base.co"
"co_com_tax_group_icdto_30",30,"Ic Data","IC Datos","Ic Datos","base.co"
